"mRNAs identified in Ito et. al and analyzed by Pearson correlation: column headers show the transcript codes as identified by Ito et al. (Transcript accession); the names of the proteins as seen in Uniprot database (Protein name); gene names as seen in the Cyanobase (Gene names); the Uniprot accession numbers of all proteins (Uniprot Accession); the log2-mean-ratio normalized retrieved from GEO (GSE14225) from each time-point X (hours in LL) (LL.X); the Pearson correlation value (Pearson); the p-value for the significance of the Pearson correlation (p-value); the cluster number corresponding to each significant protein (Cluster nr); categorization of the protein corresponding to this mRNA, as cyclic (TRUE) and not-cyclic (FALSE), as determined by the Pearson correlation (Cyclic protein); the subjective phase, light (L) or dark (D), at which the mRNA profile shows a maximum abundance (Peak phase (subjective)); the phase, light (L) or dark (D), at which the protein profile shows a maximum abundance (Peak phase protein); the relationship between the mRNA peak phase and the protein peak phase, being in-phase (in), out of phase (out) or anti-phase (out (anti)); the delay between the maximum abundance observed at the mRNA level comparing to the maximum abundance at the protein level (delay (h)) (average delays account for different delays between the 2 days); the functional category at which the protein belongs to, based on the Cyanobase (Function category); the pathway to which the protein belongs, according to KEGG (KEGG); and the biological process in which the protein is involved, according to Gene Ontology (GO_BP).",,,,,,,,,,,,,,,,,,,,,,,,,,
(av) average delay based on 2 numbers,,,,,,,,,,,,,,,,,,,,,,,,,,
Light,,,,,,,,,,,,,,,,,,,,,,,,,,
Transcript accession,protein name,gene name,Accession,LL.4,LL.8,LL.12,LL.16,LL.20,LL.24,LL.28,LL.32,LL.36,LL.40,LL.44,LL.48,Pearson corr,p-value,Cluster nr,Cyclic protein,Peak phase (subjective),Peak phase protein,in/out phase,delay (h),Function category,KEGG,GO_BP
syc1258-h_at,glucose inhibited division protein B,Synpcc7942_0267,Q31RM0,-0.00928667,0.33002213,-0.00086696,-0.23196905,-0.27534122,-0.3192735,-0.07957913,0.31082758,0.14417617,-0.13170732,-0.14576032,-0.041144,0.86937841,0.0125,1,FALSE,-,-,-,-,-,-,-
syc1266-h_at,Uncharacterized protein,Synpcc7942_0259,Q31RM8,0.19692131,-0.22773079,-0.29198665,0.12401084,0.24671081,0.09383057,-0.07369261,-0.34176435,-0.22283425,0.12146978,0.34839391,-0.03245647,0.82808761,0.0255,2,FALSE,-,-,-,-,-,-,-
syc1267-h_at,hypothetical protein,Synpcc7942_0258,Q31RM9,0.28628232,-0.06890889,-0.47592086,-0.22605148,0.17080974,0.25969155,0.23407576,-0.12321558,-0.2679031,-0.31994146,-0.02202314,0.19664715,0.91064696,0.0045,2,FALSE,-,-,-,-,-,-,-
syc1269-h_at,N-acyl-L-amino acid amidohydrolase,Synpcc7942_0256,Q31RN1,-0.1920042,0.19155835,0.41192636,-0.1930941,-0.30169805,-0.29673572,-0.22249628,0.08852682,0.43964436,0.05887868,-0.38672914,-0.15082966,0.88671956,0.0086,1,FALSE,-,-,-,-,-,-,-
syc1271-h_at,DNA gyrase A subunit,Synpcc7942_0254,Q31RN3,-0.04183462,-0.25154062,-0.0442669,0.14448438,0.14098497,0.12857365,-0.06850361,-0.327437,-0.06549435,0.0056896,0.06835425,0.23328613,0.89810323,0.0065,6,FALSE,-,-,-,-,-,-,-
syc1276-h_at,ATP-binding subunit of the ABC-type Bgt permease for basic amino acids and glutamine,Synpcc7942_0249,Q31RN8,0.35599562,0.22344477,-0.16754971,0.0106219,-0.22379354,-0.18116585,0.13133107,0.20962285,-0.2439694,-0.00956378,-0.26015853,-0.1128023,0.92049671,0.0033,4,FALSE,-,-,-,-,-,-,-
syc1279-h_at,periplasmic substrate-binding and integral membrane protein of the ABC-type Bgt permease for basic amino acids and glutamine BgtB,Synpcc7942_0247,Q31RP0,0.44260508,-0.15760394,-0.15663552,-0.02088824,-0.05368279,-0.04269887,0.12184505,-0.17098182,-0.15023944,-0.02380651,-0.00783538,0.05733446,0.80559104,0.0347,2,FALSE,-,-,-,-,-,-,-
syc1281-m_at,glyceraldehyde 3-phosphate dehydrogenase,Synpcc7942_0245,Q31RP2,-2.18134141,1.19297038,1.25815253,-0.65956661,-3.37528278,-3.52241591,-1.83490575,1.31809082,1.08076882,-0.070142,-2.96975619,-3.03252898,0.99501082,0.0000,1,FALSE,-,-,-,-,-,-,-
syc1282-m_at,glycogen phosphorylase,Synpcc7942_0244,Q31RP3,-1.65375901,1.04909415,1.07131215,-0.46160676,-1.69852324,-1.80781397,-1.07934445,1.09798591,0.95799846,-0.06613473,-1.78687347,-1.82417655,0.97826941,0.0001,1,FALSE,-,-,-,-,-,-,-
syc1283-m_at,"possible high light inducible polypeptide HliC, CAB/ELIP/HLIP superfamily",Synpcc7942_0243,Q31RP4,-0.46254721,0.28838804,0.38511725,-0.11086577,-0.21021338,-0.42198212,-0.70862627,0.28359271,0.48869748,0.16589496,0.05524822,-0.52753563,0.91308262,0.0042,1,TRUE,L/D,L,out (anti),14.5,General stress response,0,0
syc1286-m_at,allophycocyanin alpha-B subunit,Synpcc7942_0240,Q31RP7,0.20730945,0.041372,-0.24202659,0.00760192,0.1437797,0.07557345,0.16741148,-0.06046641,-0.33097405,-0.11085424,0.0914897,-0.00598592,0.99020745,0.0000,4,FALSE,-,-,-,-,-,-,-
syc1287-m_at,cytochrome C6 soluble cytochrome f,Synpcc7942_0239,Q31RP8,0.18619698,0.01541345,-0.24187025,-0.01661557,0.14555653,0.04449267,0.13855898,0.02723038,-0.29289789,-0.15179652,-0.03188782,0.02970429,0.88606244,0.0087,4,FALSE,-,-,-,-,-,-,-
syc1290-h_at,Cyclic nucleotide-binding domain (CNMP-BD) protein,Synpcc7942_0236,Q31RQ1,0.55955244,0.40694279,-0.37538575,-0.23857592,-0.34759469,-0.28062697,0.21198428,0.41936974,-0.62964651,-0.3020624,-0.53686531,-0.1837597,0.91730328,0.0037,4,FALSE,-,-,-,-,-,-,-
syc1294-m_at,3-phosphoshikimate 1-carboxyvinyltransferase,Synpcc7942_0232,Q31RQ5,-0.05147148,-0.38758029,0.02253938,0.14317644,0.03763819,-0.02379846,-0.19951861,-0.31350317,0.15018733,0.12222481,0.07894774,0.1904573,0.80424125,0.0353,6,FALSE,-,-,-,-,-,-,-
syc1295-m_at,putative acetyltransferase,Synpcc7942_0231,Q31RQ6,-0.00727381,-0.39737911,0.22690339,-0.08229765,0.06651479,-0.0824774,-0.17160263,-0.38622383,0.29299407,0.09033756,0.15009161,0.04278345,0.87547581,0.0111,6,FALSE,-,-,-,-,-,-,-
syc1297-h_at,hypothetical protein,Synpcc7942_0229,Q31RQ8,0.10752929,-0.22563365,-0.62698876,0.02433248,0.13801418,0.09751501,-0.15896112,-0.19629327,-0.51609627,0.19856095,0.31252983,0.34124317,0.84423839,0.0198,2,FALSE,-,-,-,-,-,-,-
syc1298-h_at,hypothetical protein,Synpcc7942_0228,Q31RQ9,0.25726827,-0.19327309,-0.21523424,-0.05453632,0.12912422,0.15216893,0.03216494,-0.13065208,-0.07350779,-0.13932997,0.05342268,0.03892768,0.83553115,0.0228,2,FALSE,-,-,-,-,-,-,-
syc1299-h_at,peptidyl-tRNA hydrolase,Synpcc7942_0227,Q31RR0,-0.04274051,-0.23209249,-0.06665471,0.03795601,0.0592417,0.11816873,-0.0289599,-0.16534975,-0.02226805,-0.00530514,-0.04455407,0.22151209,0.81506145,0.0306,6,FALSE,-,-,-,-,-,-,-
syc1308-h_at,hypothetical protein,Synpcc7942_0217,Q31RS0,-0.36604576,0.02426975,-0.04797827,0.24634801,-0.04976314,-0.2566167,-0.31072693,0.05440423,0.20994906,0.32104903,0.07732514,-0.06056378,0.91778252,0.0036,3,FALSE,-,-,-,-,-,-,-
syc1310-m_at,hypothetical protein,Synpcc7942_0215,Q31RS2,0.00704058,0.21263827,0.12939081,-0.19492796,-0.25773693,-0.15373504,0.15209677,0.36124923,-0.00528577,-0.28177445,-0.25884048,-0.06858713,0.88029694,0.0100,1,FALSE,-,-,-,-,-,-,-
syc1311-h_at,hypothetical protein,Synpcc7942_0214,Q31RS3,0.13933991,-0.09161216,-0.25248885,-0.08836523,0.13695188,0.20018923,0.04358164,-0.19990403,-0.26233576,-0.0327135,-0.07891598,0.32186095,0.80819368,0.0335,2,FALSE,-,-,-,-,-,-,-
syc1312-m_at,Uncharacterized protein,Synpcc7942_0213,Q31RS4,-0.2799146,0.07429539,0.40966258,-0.10001295,-0.52648086,-0.30337156,-0.23144121,0.23636081,0.59629749,-0.00620405,-0.3138899,-0.16125346,0.98443306,0.0000,1,FALSE,-,-,-,-,-,-,-
syc1322-m_at,cb-type cytochrome c oxidase subunit I,Synpcc7942_0202,Q31RT5,-1.302771,1.01685494,0.79429655,-0.28727708,-1.576039,-1.65205141,-0.48272094,1.11304569,0.57591977,0.00303693,-1.90270745,-1.63622785,0.94116449,0.0014,1,FALSE,-,-,-,-,-,-,-
syc1323-m_at,hypothetical protein,Synpcc7942_0201,Q31RT6,-1.27668292,0.87325454,0.67632944,-0.19462919,-1.27903444,-1.32931944,-0.45397697,0.99572828,0.69411584,0.12787972,-1.42965296,-1.27117529,0.94322201,0.0013,1,FALSE,-,-,-,-,-,-,-
syc1324-m_at,hypothetical protein,Synpcc7942_0200,Q31RT7,-1.42444125,1.00872868,0.74586415,-0.1197057,-1.48304094,-1.49732205,-0.4803074,1.07883282,0.51620008,0.07143437,-1.73952887,-1.50221917,0.92658758,0.0026,1,FALSE,-,-,-,-,-,-,-
syc1325-m_at,hypothetical protein,Synpcc7942_0199,Q31RT8,-0.95743605,0.81253396,0.67996615,-0.23888916,-1.10815051,-1.04024042,-0.53079127,0.89662108,0.57877489,0.1146361,-0.83152703,-0.86028365,0.9841426,0.0000,1,FALSE,-,-,-,-,-,-,-
syc1326-m_at,type 2 NADH dehydrogenase,Synpcc7942_0198,Q31RT9,-1.22619035,0.94839974,0.74900953,-0.26971711,-1.26237952,-1.53435345,-0.61968518,1.07789733,0.67341984,0.11114981,-1.38200425,-1.365608,0.96706566,0.0003,1,FALSE,-,-,-,-,-,-,-
syc1327-m_at,hypothetical protein,Synpcc7942_0197,O68867,-0.18645442,-0.09757176,0.11800214,-0.02044962,0.06338747,0.08915008,-0.23642429,-0.17121297,0.14356272,0.02049658,0.09915315,0.17659378,0.97798722,0.0001,6,FALSE,-,-,-,-,-,-,-
syc1328-m_at,"lignostilbene-alpha, beta-dioxygenase of Synechococcus PCC7942",Synpcc7942_0196,Q31RU1,-0.3102751,-0.10585334,0.07139712,0.01513832,0.21817088,-0.01995723,-0.3255835,-0.06094575,0.2626267,-0.00106718,0.14775096,0.05683743,0.88897404,0.0081,3,FALSE,-,-,-,-,-,-,-
syc1333-h_at,soluble hydrogenase 42 kD subunit  DHSS,Synpcc7942_0191,Q31RU6,0.02796673,-0.84375959,-0.60654815,-0.19911655,0.47755905,0.47177159,-0.05738346,-0.7904799,-0.15459206,-0.0821833,0.25953235,0.65283179,0.90698314,0.0051,2,FALSE,-,-,-,-,-,-,-
syc1340-h_at,Uncharacterized protein,Synpcc7942_0183,Q31RV4,-0.05519296,-0.55215818,-0.16355861,0.00989332,0.14460274,0.19075326,0.01673993,-0.33800506,-0.09470815,0.0791201,-0.03514765,0.31161395,0.87849645,0.0104,6,FALSE,-,-,-,-,-,-,-
syc1352-h_at,Uncharacterized protein,Synpcc7942_0168,Q31RW9,0.04694392,0.15771995,-0.0612882,-0.00609877,-0.00040889,0.05949398,0.03441279,0.15045796,-0.19307712,-0.17916654,-0.05287859,0.01357114,0.93943446,0.0015,4,FALSE,-,-,-,-,-,-,-
syc1355-h_at,hypothetical protein,Synpcc7942_0164,Q31RX3,-0.03613317,0.18594688,0.22928193,-0.03066742,-0.1374555,-0.14280926,-0.16010981,0.05977154,0.1786337,-0.00403251,-0.14228664,-0.18533424,0.92217187,0.0031,1,FALSE,-,-,-,-,-,-,-
syc1358-h_at,hypothetical protein,Synpcc7942_0161,Q31RX6,0.04570139,-0.42483738,-0.18071499,0.15045544,0.22218268,0.1299577,-0.00036895,-0.32086735,-0.26802416,0.12639682,0.22643165,0.18742387,0.95890572,0.0005,2,FALSE,-,-,-,-,-,-,-
syc1359-h_at,GTP-binding protein ERA homolog,Synpcc7942_0160,Q31RX7,-0.38820039,0.08861667,0.63950762,-0.24282817,-0.66170811,-0.62131147,-0.43362576,0.18012359,0.85780271,0.18301424,-0.48122355,-0.39142139,0.95427334,0.0007,1,FALSE,-,-,-,-,-,-,-
syc1362-m_at,Uncharacterized protein,Synpcc7942_0157,Q31RY0,-0.59309408,0.96725862,0.43022454,0.05946652,-1.35510727,-1.53942871,-0.47164112,1.01365729,0.34573971,0.15098117,-0.90865519,-1.39583966,0.99013179,0.0000,1,FALSE,-,-,-,-,-,-,-
syc1363-m_at,phosphoglucomutase,Synpcc7942_0156,Q31RY1,-0.13487271,-0.53971081,-0.39481615,0.09153579,0.50317276,0.30055946,0.07289569,-0.47473941,-0.43624349,-0.05139517,0.35307264,0.36714688,0.9390571,0.0016,2,FALSE,-,-,-,-,-,-,-
syc1365-m_at,hypothetical protein,Synpcc7942_0153,Q31RY4,0.11588428,-0.08406295,-0.05150826,-0.060866,-0.01998328,0.02952722,0.10103003,-0.16408553,-0.00622476,-0.02190494,-0.02780769,0.05371328,0.85705195,0.0159,2,FALSE,-,-,-,-,-,-,-
syc1370-h_at,hypothetical protein,Synpcc7942_0148,Q31RY9,-0.14420157,-0.03216164,0.52596787,0.0250225,-0.12348629,-0.37379688,-0.54032654,0.06282712,0.4590903,0.13967188,-0.28902025,-0.23994236,0.81484112,0.0307,3,FALSE,-,-,-,-,-,-,-
syc1371-m_at,Uncharacterized protein,Synpcc7942_0147,Q31RZ0,-0.33767422,-0.01722502,0.03518839,-0.14688066,-0.06924721,-0.02477037,-0.10892622,0.18014291,0.1880426,-0.12333681,0.2868837,0.18171784,0.78025602,0.0468,3,FALSE,-,-,-,-,-,-,-
syc1375-m_at,pyruvate dehydrogenase E1 component beta subunit,Synpcc7942_0143,Q31RZ4,-0.1048781,-0.10575781,0.01002975,0.11306343,0.14043477,0.08057096,-0.05291397,-0.13521665,-0.09177742,0.09509543,0.01863499,0.06476426,0.80968129,0.0329,6,FALSE,-,-,-,-,-,-,-
syc1376-m_at,protein-export membrane protein SecD,Synpcc7942_0142,Q31RZ5,-0.07872115,-0.21240388,0.02469509,0.01833884,0.08891486,0.04156824,-0.05660587,-0.23126701,-0.02648577,0.09065695,0.12774819,0.18420769,0.9117668,0.0044,6,FALSE,-,-,-,-,-,-,-
syc1379-h_at,acetolactate synthase,Synpcc7942_0139,Q31RZ8,0.07957889,0.17667298,-0.1159969,-0.026635,-0.09222075,-0.0288052,0.00510281,0.07636913,-0.04839066,-0.03986357,-0.05986885,0.02269992,0.88220842,0.0095,4,FALSE,-,-,-,-,-,-,-
syc1380-h_at,probable peptidase,Synpcc7942_0138,Q31RZ9,0.08496995,0.66190368,-0.12772558,0.02204302,-0.34577495,-0.41748568,0.10798022,0.55417623,-0.33761845,-0.09862044,-0.55605081,-0.52820776,0.98205353,0.0000,1,FALSE,-,-,-,-,-,-,-
syc1386-m_at,hypothetical protein,Synpcc7942_0132,Q31S05,0.01563522,-0.18400221,0.0822264,0.02330706,0.05961633,0.13031465,-0.07698767,-0.32731535,0.10625617,0.00014323,-0.16120987,0.09479548,0.86757439,0.0130,6,FALSE,-,-,-,-,-,-,-
syc1389-h_at,hypothetical protein,Synpcc7942_0128,Q31S09,-0.29086444,0.35605543,-0.01939755,-0.03975462,-0.3406557,-0.26495798,-0.12179727,0.40041848,0.18504587,0.11044442,-0.38453969,-0.14041306,0.94421456,0.0012,1,FALSE,-,-,-,-,-,-,-
syc1391-m_at,enoyl-[acyl-carrier-protein] reductase,Synpcc7942_0126,Q31S11,-0.05335972,-0.46649447,0.02011065,0.12957857,0.22126349,0.15001097,-0.11856055,-0.53767766,-0.00138611,0.13604977,0.1831224,0.27145769,0.97858313,0.0001,6,FALSE,-,-,-,-,-,-,-
syc1392-m_at,imidazoleglycerol-phosphate dehydratase,Synpcc7942_0125,Q31S12,-0.1065627,-0.25257746,0.35612736,-0.0159646,-0.00504044,-0.03175294,-0.23044973,-0.120108,0.35967746,0.04214903,-0.20832193,0.04420123,0.81688242,0.0299,3,FALSE,-,-,-,-,-,-,-
syc1393-m_at,similar to thiol methyltransferase 1,Synpcc7942_0124,Q31S13,-0.33444736,-0.20328143,0.31658276,0.10982362,-0.09831508,0.0687157,-0.37524378,-0.30348025,0.47586031,0.06784829,-0.11746865,0.09134337,0.98445635,0.0000,3,FALSE,-,-,-,-,-,-,-
syc1399-h_at,glutamyl-tRNA(Gln) amidotransferase subunit B,Synpcc7942_0118,Q31S19,0.00830496,-0.25762471,-0.06978435,0.04485666,0.13672641,0.10483934,-0.04403271,-0.27839653,0.00346083,0.06798161,0.08803727,0.12775961,0.94350934,0.0013,6,FALSE,-,-,-,-,-,-,-
syc1403-h_at,hypothetical protein,Synpcc7942_0114,Q31S23,0.22735186,-0.29852163,-0.17366703,0.06368633,0.13057799,0.16001512,0.09260921,-0.45454037,-0.16933343,-0.07748891,-0.07201688,0.26574785,0.87683327,0.0107,2,FALSE,-,-,-,-,-,-,-
syc1406-h_at,hypothetical protein,Synpcc7942_0110,Q31S27,-0.6117655,0.3120747,0.45409738,-0.18165771,-0.33122034,-0.35015016,-0.35511652,0.43981273,0.50973356,0.09633494,-0.70526819,-0.1735292,0.86053915,0.0149,1,FALSE,-,-,-,-,-,-,-
syc1407-h_at,probable DNA-binding stress protein,Synpcc7942_0109,Q31S28,-0.47924936,0.40866544,0.37315973,-0.02865496,-0.39606858,-0.33852962,-0.17460768,0.50773371,0.34414501,-0.0001579,-0.43330365,-0.38322528,0.94038092,0.0015,1,FALSE,-,-,-,-,-,-,-
syc1415-h_at,hypothetical protein,Synpcc7942_0102,Q31S35,-0.12194793,0.16594453,0.26207416,-0.12165787,-0.19483165,-0.18191427,-0.20669449,0.23143087,0.26855297,0.001686,-0.36005978,-0.33659166,0.931573,0.0022,1,FALSE,-,-,-,-,-,-,-
syc1416-h_at,type 2 NADH dehydrogenase,Synpcc7942_0101,Q31S36,0.07338543,-0.2719337,-0.35775998,0.02887947,0.22350624,0.23973955,0.01793635,-0.28573841,-0.23803548,0.01132735,0.18138146,0.23697352,0.97668834,0.0001,2,FALSE,-,-,-,-,-,-,-
syc1417-m_at,hypothetical protein,Synpcc7942_0100,Q31S37,-1.18985579,0.13149337,0.69251237,-0.25427853,-0.67521626,-0.46529317,-0.37206978,0.65142089,0.7040639,0.15109946,-0.74290238,-0.31119746,0.85790054,0.0156,1,FALSE,-,-,-,-,-,-,-
syc1419-m_at,pyruvate kinase,Synpcc7942_0098,Q31S39,-0.12599803,-0.18941568,0.05602382,0.06710538,0.07498188,0.12458353,-0.01631583,-0.16149835,-0.03018416,0.03917307,0.04355298,0.13975097,0.85323886,0.0170,6,FALSE,-,-,-,-,-,-,-
syc1421-m_at,hypothetical protein,Synpcc7942_0096,Q31S41,-0.12361919,0.705212,0.1616592,-0.35214275,-0.46148385,-0.51597845,0.06977018,0.60486078,0.04404671,-0.19760355,-0.47838888,-0.39023154,0.96428238,0.0003,1,FALSE,-,-,-,-,-,-,-
syc1422-m_at,two-component response regulator (OmpR subfamily),Synpcc7942_0095,Q31S42,0.00621198,0.4417877,-0.01006376,0.13828281,-0.46674207,-0.58532069,0.10286369,0.37763098,-0.01501448,0.18483374,-0.4535217,-0.42374326,0.984442,0.0000,1,FALSE,-,-,-,-,-,-,-
syc1425-m_at,hypothetical protein,Synpcc7942_0092,Q31S45,0.23110335,-0.114048,-0.3906219,-0.01578945,0.02606291,-0.0289467,0.18920648,-0.07030523,-0.3515561,0.03314062,0.19299184,0.03316046,0.9455014,0.0011,2,FALSE,-,-,-,-,-,-,-
syc1430-m_at,hypothetical protein,Synpcc7942_0087,Q31S50,-0.36364042,-0.02713663,0.32864778,-0.20293081,-0.14533376,-0.10868324,-0.25734263,0.26642765,0.4925471,-0.07374385,-0.28261674,0.04269701,0.89499044,0.0070,3,FALSE,-,-,-,-,-,-,-
syc1431-m_at,glycogen operon protein GlgX homolog,Synpcc7942_0086,Q31S51,-0.53708866,0.05427162,0.54200878,-0.25708022,-0.44696349,-0.42755745,-0.30412945,0.38698382,0.61062583,-0.02613785,0.03243924,-0.15381326,0.9510679,0.0008,1,FALSE,-,-,-,-,-,-,-
syc1432-m_at,hypothetical protein,Synpcc7942_0085,Q31S52,-0.25749929,-0.00218091,0.282753,-0.21491991,-0.34044272,-0.31575838,-0.1812095,0.3138877,0.45320375,0.14207414,-0.27228112,-0.0115422,0.89340947,0.0073,1,FALSE,-,-,-,-,-,-,-
syc1434-h_at,hypothetical protein,Synpcc7942_0083,Q54732,0.2126321,-0.12558058,-0.27564183,0.00884732,0.14274838,0.05947648,0.11273005,-0.21820365,-0.19922429,-0.09696452,0.27345718,-0.09697805,0.80854717,0.0334,2,FALSE,-,-,-,-,-,-,-
syc1435-h_at,ATP-binding protein of ABC transporter,Synpcc7942_0082,Q31S55,0.054854,-0.35108406,-0.19119901,0.12023654,0.17177183,0.15070506,0.05046513,-0.29698094,-0.15445829,-0.17558917,0.15112698,0.26454682,0.77774914,0.0482,2,FALSE,-,-,-,-,-,-,-
syc1437-m_at,probable ABC transporter permease protein,Synpcc7942_0080,Q31S57,-0.0986505,-0.07768208,-0.12655201,-0.11886543,0.11705671,0.22002838,0.0345776,-0.11802478,-0.27457593,-0.14627203,0.02028326,0.36451509,0.86169246,0.0146,2,FALSE,-,-,-,-,-,-,-
syc1438-m_at,hypothetical protein YCF41,Synpcc7942_0079,Q31S58,-0.13665333,0.08118903,0.02972976,0.11198366,-0.16143349,-0.13351603,-0.22545877,0.16105256,0.09691524,0.10267145,-0.02361827,-0.05984779,0.82644757,0.0261,1,FALSE,-,-,-,-,-,-,-
syc1443-m_at,Uncharacterized protein,Synpcc7942_0074,Q31S63,-0.0791366,-0.81347205,-0.43289766,-0.17048348,0.4322669,0.63564559,0.08748177,-0.56429763,-0.62391029,-0.32588044,-0.01408618,0.69254094,0.87689102,0.0107,2,FALSE,-,-,-,-,-,-,-
syc1445-m_at,hypothetical protein,Synpcc7942_0072,Q31S65,-0.01880444,-0.18012268,0.02616661,0.03016113,0.07471184,0.13257974,-0.08007554,-0.43901643,-0.21314323,0.17703256,0.04115612,0.3571258,0.87721235,0.0107,6,FALSE,-,-,-,-,-,-,-
syc1446-m_at,pleiotropic regulatory protein homolog,Synpcc7942_0071,Q31S66,0.33823575,-0.45675846,-0.12577425,0.10694619,0.20002759,0.09962064,-0.04948224,-0.5425242,-0.31231293,0.02838613,0.13907302,0.24130345,0.81915047,0.0289,2,FALSE,-,-,-,-,-,-,-
syc1448-m_at,ATP-binding protein of ABC transporter,Synpcc7942_0068,Q31S69,0.12061455,-0.13157733,-0.30099587,0.08918091,0.17006746,0.21259635,0.08187504,-0.25980638,-0.30923397,-0.17338002,-0.03387095,0.17465794,0.8635369,0.0141,2,FALSE,-,-,-,-,-,-,-
syc1451-m_at,initiation factor IF-3,Synpcc7942_0065,Q31S72,0.02969242,0.10598397,-0.13707559,-0.18406769,0.08402247,-0.0385605,0.01984377,0.11804966,-0.1258713,-0.06004792,0.04939902,-0.02995251,0.90460506,0.0054,4,FALSE,-,-,-,-,-,-,-
syc1455-m_at,dTDP-4-dehydrorhamnose 35-epimerase,Synpcc7942_0058,Q31S79,-0.01865785,0.05359467,0.09335777,-0.26175809,-0.15112512,-0.03314449,0.00439046,0.06657147,0.15150442,-0.22473967,-0.10236403,0.11862828,0.93695793,0.0017,1,FALSE,-,-,-,-,-,-,-
syc1465-h_at,hypothetical protein,Synpcc7942_0047,Q31S90,0.15205763,0.18186269,-0.07922538,-0.03067961,0.12985766,0.07799746,0.26884833,0.18120778,-0.42431989,-0.42440635,-0.18355004,-0.34073739,0.84405906,0.0199,4,FALSE,-,-,-,-,-,-,-
syc1466-h_at,hypothetical protein,Synpcc7942_0046,Q31S91,0.39232391,0.20663333,-0.33710894,-0.17689199,0.20818858,0.1222338,0.32596847,0.04043961,-0.59736486,-0.63225237,-0.21321759,-0.06663734,0.93633732,0.0018,4,FALSE,-,-,-,-,-,-,-
syc1468-h_at,hypothetical protein,Synpcc7942_0044,Q31S93,0.2525149,-0.3469839,-0.56101371,-0.2341896,0.47101018,0.32969682,-0.00695198,-0.33257819,-0.59895789,-0.28910497,-0.02371702,0.55313242,0.81814454,0.0293,2,FALSE,-,-,-,-,-,-,-
syc1470-m_at,50S ribosomal protein L28,Synpcc7942_0042,Q31S95,0.1168972,-0.19216865,-0.07863317,-0.00593243,0.23244154,0.16261758,-0.1630752,-0.29679084,-0.06383421,-0.00641169,0.22190494,0.03249022,0.78214806,0.0459,2,FALSE,-,-,-,-,-,-,-
syc1471-h_at,probable transport protein,Synpcc7942_0041,Q31S96,-0.03040358,0.45902698,-0.1476595,-0.07923064,-0.49129464,-0.46378138,-0.00574282,0.46277136,0.16413978,-0.13686156,-0.59431551,-0.10024304,0.84005445,0.0212,1,FALSE,-,-,-,-,-,-,-
syc1472-h_at,dihydroneopterin aldolase,Synpcc7942_0040,Q31S97,-0.97602301,0.67412526,1.02984,-0.29745339,-1.54305432,-1.1959315,-0.63256613,0.69981834,0.98466872,-0.06216716,-1.74550819,-0.93391527,0.97955772,0.0001,1,FALSE,-,-,-,-,-,-,-
syc1473-h_at,6-phosphogluconate dehydrogenase,Synpcc7942_0039,P21577,-1.4189594,0.89415079,1.04156145,-0.48081241,-1.49539951,-1.4951929,-0.87971863,0.91787191,1.06075309,-0.12114932,-1.67212284,-1.4462954,0.97563051,0.0001,1,FALSE,-,-,-,-,-,-,-
syc1474-h_at,mutator MutT protein,Synpcc7942_0038,Q31S99,-0.01035392,0.03683803,-0.14294699,-0.10294873,-0.0669512,-0.01390976,0.13524468,0.10277345,-0.11659435,-0.06768045,-0.02194558,0.10933423,0.9367779,0.0017,4,FALSE,-,-,-,-,-,-,-
syc1475-h_at,hypothetical protein,Synpcc7942_0036,Q31SA1,0.09057175,0.09265829,0.32250563,-0.15054211,-0.13258015,-0.20780221,-0.11822375,0.1820864,0.22407155,-0.15080628,-0.29176449,-0.08988834,0.78082479,0.0466,1,FALSE,-,-,-,-,-,-,-
syc1476-m_at,Uncharacterized protein,Synpcc7942_0035,Q31SA2,-0.10636173,0.33354901,0.35774523,-0.41956567,-0.52487055,-0.50169195,-0.17435406,0.44942785,0.63259412,-0.23398549,-0.26768775,-0.38866897,0.95600028,0.0006,1,FALSE,-,-,-,-,-,-,-
syc1477-m_at,hypothetical protein,Synpcc7942_0033,Q31SA4,-0.40848316,0.47905931,1.03888225,-0.30005764,-0.58368249,-0.90174073,-0.53443104,0.40289966,0.52074063,-0.0016537,-1.10698442,-0.90201873,0.90035681,0.0061,1,FALSE,-,-,-,-,-,-,-
syc1478-m_at,hypothetical protein,Synpcc7942_0032,Q31SA5,-0.21561336,0.32407165,0.6245245,-0.27972592,-0.50589404,-0.74075844,-0.44888729,0.31658994,0.65886722,0.05615732,-0.38806433,-0.60031598,0.93104154,0.0022,1,FALSE,-,-,-,-,-,-,-
