Transcript.Accession	Protein.Name	Gene.Name	Accession
syc1671-h_at	GTP-binding protein HflX	Synpcc7942_2448	Q31KE1
syc1672-h_at	hypothetical protein	Synpcc7942_2447	Q31KE2
syc1674-m_at	periplasmic phosphate-binding protein of ABC transporter	Synpcc7942_2445	P39665
syc1679-m_at	polyribonucleotide nucleotidyltransferase	Synpcc7942_2440	Q31KE9
syc1686-h_at	hypothetical protein	Synpcc7942_2433	Q31KF6
syc1687-h_at	hypothetical protein	Synpcc7942_2432	Q31KF7
syc1688-m_at	hypothetical protein	Synpcc7942_2431	Q31KF8
syc1692-h_at	thiosulfate sulfurtransferase	Synpcc7942_2427	Q31KG2
syc1694-m_at	chaperon-like protein for quinone binding in photosystem II	Synpcc7942_2425	Q31KG4
syc1695-m_at	hypothetical protein	Synpcc7942_2424	Q31KG5
syc1697-m_at	Uncharacterized protein	Synpcc7942_2422	Q31KG7
syc1700-h_at	hypothetical protein	Synpcc7942_2419	Q31KH0
syc1705-m_at	hypothetical protein, putative methlytransferase	Synpcc7942_2414	Q31KH5
syc1706-m_at	erthyrocyte band 7 integral membrane protein, protein 7.2B, stomatin	Synpcc7942_2412	Q31KH7
syc1707-h_at	hypothetical protein	Synpcc7942_2411	Q31KH8
syc1710-m_at	hypothetical protein	Synpcc7942_2408	Q31KI1
syc1711-h_at	hypothetical protein	Synpcc7942_2407	Q31KI2
syc1712-h_at	FAD dependent oxidoreductase	Synpcc7942_2406	Q31KI3
syc1714-h_at	hypothetical protein	Synpcc7942_2404	Q31KI5
syc1716-h_at	hypothetical protein	Synpcc7942_2402	Q31KI7
syc1719-m_at	hypothetical protein	Synpcc7942_2399	Q31KJ0
syc1721-m_at	hypothetical protein	Synpcc7942_2397	Q31KJ2
syc1722-m_at	hypothetical protein	Synpcc7942_2396	Q31KJ3
syc1724-m_at	Na+/H+ antiporter	Synpcc7942_2394	Q8L1E4
syc1725-h_at	glutamyl-tRNA synthetase	Synpcc7942_2393	Q8L1E5
syc1729-m_at	hypothetical protein	Synpcc7942_2389	Q31KK0
syc1731-m_at	hypothetical protein	Synpcc7942_2388	Q31KK1
syc1732-m_at	hypothetical protein	Synpcc7942_2387	Q31KK2
syc1733-h_at	hydrogenase isoenzymes formation protein HypD	Synpcc7942_2386	Q31KK3
syc1734-h_at	hypothetical protein	Synpcc7942_2385	Q31KK4
syc1735-h_at	pyruvate flavodoxin oxidoreductase	Synpcc7942_2384	Q31KK5
syc1739-m_at	hypothetical protein	Synpcc7942_2380	Q31KK9
syc1741-h_at	cell division protein FtsZ	Synpcc7942_2378	O85785
syc1742-h_at	hypothetical protein	Synpcc7942_2377	Q31KL2
syc1749-h_at	RND multidrug efflux transporter  acriflavin resistance protein	Synpcc7942_2369	Q31KM0
syc1751-m_at	Uncharacterized protein	Synpcc7942_2367	Q31KM2
syc1752-h_at	peptide-chain-release factor 3	Synpcc7942_2365	Q31KM4
syc1755-h_at	solanesyl diphosphate synthase	Synpcc7942_2362	Q31KM7
syc1757-h_at	N-acetylmuramoyl-L-alanine amidase	Synpcc7942_2360	Q31KM9
syc1758-h_at	Na+/H+ antiporter	Synpcc7942_2359	Q31KN0
syc1759-h_at	nitrilase homolog	Synpcc7942_2358	Q31KN1
syc1763-m_at	FK506-binding protein  FKBP-type peptidyl-prolyl cis-trans isomerase, periplasmic protein	Synpcc7942_2354	Q31KN5
syc1770-h_at	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	Synpcc7942_2348	Q31KP1
syc1771-m_at	hypothetical protein	Synpcc7942_2347	Q31KP2
syc1772-h_at	imidazoleglycerol-phosphate dehydratase	Synpcc7942_2346	Q31KP3
syc1774-h_at	Uncharacterized protein	Synpcc7942_2344	Q31KP5
syc1775-m_at	photosystem I PsaI protein	Synpcc7942_2343	P95823
syc1776-m_at	photosystem I reaction center subunit XI	Synpcc7942_2342	P95822
syc1778-h_at	GTP-binding protein engA	Synpcc7942_2340	Q31KP9
syc1782-m_at	fructose-16-bisphosphatase	Synpcc7942_2335	Q59943
syc1783-m_at	glucose-6-phosphate 1-dehydrogenase	Synpcc7942_2334	P29686
syc1784-m_at	putative OxPPCycle protein OpcA	Synpcc7942_2333	Q54709
syc1785-h_at	cytochrome b6-f complex subunit 4	Synpcc7942_2332	Q54710
syc1787-m_at	carboxyl-terminal processing protease	Synpcc7942_2330	Q31KQ9
syc1789-h_at	hypothetical protein, serine/threonine kinase	Synpcc7942_2328	Q31KR1
syc1791-h_at	hypothetical protein	Synpcc7942_2326	Q31KR3
syc1792-m_at	hypothetical protein	Synpcc7942_2325	Q31KR4
syc1794-h_at	glutaredoxin	Synpcc7942_2323	Q31KR6
syc1798-h_at	hypothetical protein	Synpcc7942_2319	P37371
syc1799-h_at	hypothetical protein	Synpcc7942_2318	P37372
syc1800-m_at	copper-transporting P-type ATPase CtaA	Synpcc7942_2317	P37385
syc1801-h_at	ATP synthase epsilon subunit	Synpcc7942_2316	P0A2Z8
syc1802-h_at	ATP synthase beta chain of F1	Synpcc7942_2315	Q31KS4
syc1805-h_at	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl -undecaprenol N-acetylglucosamine transferase	Synpcc7942_2312	Q31KS7
syc1807-m_at	hypothetical protein, L-2-diaminobutyrate decarboxylase	Synpcc7942_2310	Q31KS9
syc1808-m_at	thioredoxin peroxidase	Synpcc7942_2309	Q7X4K8
syc1809-h_at	aminomethyltransferase	Synpcc7942_2308	Q31KT1
syc1810-h_at	Uncharacterized protein	Synpcc7942_2307	Q31KT2
syc1815-h_at	hypothetical protein	Synpcc7942_2300	Q31KT9
syc1816-h_at	30S ribosomal protein S15	Synpcc7942_2299	Q31KU0
syc1818-m_at	transaldolase	Synpcc7942_2297	Q31KU2
syc1825-m_at	hypothetical protein	Synpcc7942_2290	Q31KU9
syc1827-m_at	hypothetical protein	Synpcc7942_2288	Q31KV1
syc1831-m_at	2-hydroxy-6-oxohepta-24-dienoate hydrolase	Synpcc7942_2284	Q31KV5
syc1835-m_at	hypothetical protein	Synpcc7942_2280	Q31KV9
syc1836-h_at	ammonium/methylammonium permease	Synpcc7942_2279	Q31KW0
syc1840-h_at	Magnesium protoporphyrin IX chelatase subunit D	Synpcc7942_2274	O07345
syc1848-h_at	gamma-glutamyl phosphate reductase	Synpcc7942_2265	Q31KX4
syc1849-m_at	transcriptional regulator  LuxR/NarL type-1 family	Synpcc7942_2264	Q31KX5
syc1856-m_at	hypothetical protein	Synpcc7942_2257	Q31KY2
syc1859-m_at	hypothetical protein	Synpcc7942_2254	Q31KY5
syc1860-m_at	hypothetical protein	Synpcc7942_2253	Q31KY6
syc1864-m_at	hypothetical protein	Synpcc7942_2249	Q31KZ0
syc1866-h_at	DNA mismatch repair protein	Synpcc7942_2247	Q31KZ2
syc1867-h_at	hypothetical protein	Synpcc7942_2246	Q31KZ3
syc1868-m_at	photosystem II PsbZ protein	Synpcc7942_2245	Q31KZ4
syc1872-h_at	hypothetical protein	Synpcc7942_2241	Q31KZ8
syc1875-m_at	glucose transport protein	Synpcc7942_2238	Q31L01
syc1882-m_at	50S ribosomal protein L23	Synpcc7942_2230	Q31L09
syc1883-m_at	50S ribosomal protein L2	Synpcc7942_2229	Q31L10
syc1884-m_at	30S ribosomal protein S19	Synpcc7942_2228	Q31L11
syc1885-m_at	50S ribosomal protein L22	Synpcc7942_2227	Q31L12
syc1893-m_at	30S ribosomal protein S8	Synpcc7942_2219	Q31L20
syc1894-m_at	50S ribosomal protein L6	Synpcc7942_2218	Q31L21
syc1895-m_at	50S ribosomal protein L18	Synpcc7942_2217	Q31L22
syc1903-m_at	RNA polymerase alpha subunit	Synpcc7942_2209	Q31L30
syc1907-m_at	30S ribosomal protein S9	Synpcc7942_2205	Q31L34
syc1908-m_at	50S ribosomal protein L31	Synpcc7942_2204	Q31L35
syc1912-m_at	hypothetical protein	Synpcc7942_2200	Q31L39
syc1915-h_at	hypothetical protein	Synpcc7942_2197	Q31L42
syc1916-m_at	Uncharacterized protein	Synpcc7942_2196	Q31L43
syc1917-m_at	guanylyl cyclase	Synpcc7942_2195	Q31L44
syc1919-m_at	hypothetical protein	Synpcc7942_2193	Q31L46
syc1922-h_at	hypothetical protein	Synpcc7942_2190	Q31L49
syc1923-m_at	salicylate biosynthesis isochorismate synthase	Synpcc7942_2188	Q31L51
syc1926-h_at	hypothetical protein	Synpcc7942_2185	Q31L54
syc1929-m_at	hypothetical protein	Synpcc7942_2181	Q31L58
syc1930-m_at	bacterioferritin comigratory protein	Synpcc7942_2180	Q31L59
syc1931-m_at	hypothetical protein	Synpcc7942_2179	Q31L60
syc1932-m_at	hypothetical protein	Synpcc7942_2178	Q31L61
syc1937-h_at	Uncharacterized protein	Synpcc7942_2173	Q31L66
syc1938-h_at	hypothetical protein	Synpcc7942_2172	Q31L67
syc1939-m_at	nutrient-stress induced protein  starvation induced DNA binding protein	Synpcc7942_2171	Q55024
syc1947-h_at	hypothetical protein	Synpcc7942_2163	Q31L76
syc1948-h_at	Uncharacterized protein	Synpcc7942_2161	Q31L78
syc1949-h_at	soluble hydrogenase 42 kD subunit  serine:pyruvate/alanine:glyoxylate aminotransferase	Synpcc7942_2160	Q31L79
syc1951-h_at	allophycocyanin beta-18 subunit	Synpcc7942_2158	O50209
syc1953-m_at	glutamate--ammonia ligase	Synpcc7942_2156	Q31L83
syc1954-m_at	hypothetical protein	Synpcc7942_2155	Q31L84
syc1955-m_at	hypothetical protein	Synpcc7942_2152	Q31L87
syc1956-m_at	UDP-glucose-beta-D-glucan glucosyltransferase  cellulose synthase catalytic subunit	Synpcc7942_2151	Q31L88
syc1957-h_at	probable hydrolase	Synpcc7942_2150	Q31L89
syc1960-h_at	hypothetical protein	Synpcc7942_2147	Q31L92
syc1962-m_at	hypothetical protein	Synpcc7942_2144	Q31L95
syc1963-h_at	tryptophan synthase beta subunit	Synpcc7942_2143	Q31L96
syc1969-h_at	Uncharacterized protein	Synpcc7942_2138	Q31LA1
syc1970-h_at	Magnesium protoporphyrin IX chelatase subunit H	Synpcc7942_2137	Q31LA2
syc1971-m_at	dihydrodipicolinate reductase	Synpcc7942_2136	Q31LA3
syc1973-m_at	N-acetylmuramoyl-L-alanine amidase	Synpcc7942_2134	Q31LA5
syc1975-h_at	MrsA protein homolog  phosphomannomutase	Synpcc7942_2132	Q31LA7
syc1976-m_at	probable soluble lytic transglycosylase	Synpcc7942_2131	Q31LA8
syc1980-h_at	phycobilisome degradation protein	Synpcc7942_2127	P35087
syc1983-m_at	histone deacetylase family protein  acetylpolyamine aminohydolase	Synpcc7942_2124	Q31LB5
syc1984-m_at	anthranilate phosphoribosyltransferase	Synpcc7942_2123	Q31LB6
syc1985-m_at	carbamoyl-phosphate synthase small chain	Synpcc7942_2122	Q31LB7
syc1986-m_at	similar to anti-sigma f factor antagonist	Synpcc7942_2121	Q31LB8
syc1989-m_at	hypothetical protein	Synpcc7942_2118	Q31LC1
syc1993-m_at	hypothetical protein	Synpcc7942_2115	Q31LC4
syc1997-h_at	glucokinase  xylose repressor    transcription factor ROK family	Synpcc7942_2111	Q31LC8
syc1999-h_at	ATP-binding protein of ABC transporter	Synpcc7942_2109	Q31LD0
syc2001-m_at	Uncharacterized protein	syc1985_d	Q5N0J5
syc2002-m_at	putative cyanate ABC transporter substrate-binding protein	Synpcc7942_2107	Q31LD2
syc2006-m_at	0	Synpcc7942_2103	Q31LD6
syc2014-h_at	0	Synpcc7942_2095	Q31LE4
syc2019-h_at	homoserine dehydrogenase	Synpcc7942_2090	Q31LE9
syc2020-m_at	hypothetical protein	Synpcc7942_2089	Q31LF0
syc2021-h_at	Uncharacterized protein	Synpcc7942_2088	Q31LF1
syc2023-m_at	hypothetical protein	Synpcc7942_2086	Q31LF3
syc2024-m_at	probable anion transporting ATPase	Synpcc7942_2085	Q31LF4
syc2025-m_at	chlorophyll a synthase	Synpcc7942_2084	Q31LF5
syc2027-m_at	elongation factor EF-G	Synpcc7942_2082	Q31LF7
syc2029-h_at	probable phosphoketolase 1	Synpcc7942_2080	Q31LF9
syc2030-m_at	acetate kinase	Synpcc7942_2079	Q31LG0
syc2031-m_at	phosphoglycerate mutase	Synpcc7942_2078	Q31LG1
syc2035-h_at	DnaJ protein	Synpcc7942_2074	Q31LG5
syc2037-h_at	heat shock protein GrpE	Synpcc7942_2072	Q59984
syc2038-m_at	type IV pilus assembly protein PilB  general secretion pathway protein E	Synpcc7942_2071	Q31LG8
syc2039-m_at	twitching motility protein PilT	Synpcc7942_2070	Q31LG9
syc2040-m_at	type IV pilus assembly protein PilC	Synpcc7942_2069	Q31LH0
syc2045-h_at	phenylalanyl-tRNA synthetase alpha chain	Synpcc7942_2064	Q31LH5
syc2046-m_at	acid phosphatase  stationary-phase survival protein SurE homolog	Synpcc7942_2063	Q31LH6
syc2048-m_at	PII interaction protein X	Synpcc7942_2061	Q7X386
syc2049-m_at	hypothetical protein	Synpcc7942_2060	Q31LH9
syc2050-m_at	hypothetical protein	Synpcc7942_2059	Q31LI0
syc2051-m_at	pyrroline-5-carboxylate reductase	Synpcc7942_2058	Q31LI1
syc2052-h_at	hypothetical protein	Synpcc7942_2057	Q31LI2
syc2053-h_at	hypothetical protein	Synpcc7942_2056	Q31LI3
syc2056-h_at	probable peptidase	Synpcc7942_2053	Q31LI6
syc2057-m_at	peptide ABC transporter permease protein	Synpcc7942_2052	Q31LI7
syc2059-h_at	hypothetical protein	Synpcc7942_2050	Q31LI9
syc2067-m_at	Uncharacterized protein	Synpcc7942_2042	Q31LJ7
syc2068-h_at	Uncharacterized protein	syc2052_c	Q5N0C8
syc2069-h_at	virulence factor MviN homolog.	Synpcc7942_2041	Q31LJ8
syc2070-m_at	sugar fermentation stimulation protein  Transcription factor SfsA family	Synpcc7942_2040	Q31LJ9
syc2072-m_at	transcription regulator CRO/Cl type-3 family	Synpcc7942_2038	Q31LK1
syc2075-m_at	Uncharacterized protein	Synpcc7942_2035	Q31LK4
syc2077-h_at	hypothetical protein, similar to glycosyl transferase	Synpcc7942_2034	Q31LK5
syc2078-h_at	hypothetical protein	Synpcc7942_2033	Q31LK6
syc2079-h_at	multidrug-efflux transporter  quinolene resistance protein NorA	Synpcc7942_2032	Q31LK7
syc2080-m_at	hypothetical protein	Synpcc7942_2031	Q31LK8
syc2081-m_at	phycobilisome rod-core linker polypeptide Lrc, C-phycocyanin associated	Synpcc7942_2030	Q31LK9
syc2082-h_at	glucose-6-phosphate isomerase	Synpcc7942_2029	Q31LL0
syc2084-h_at	probable glycosly transferase	Synpcc7942_2027	Q31LL2
syc2089-m_at	N utilization substance protein A   transcription termination-antitermination factor	Synpcc7942_2022	Q31LL7
syc2090-m_at	conserved hypothetical protein; conserved gene cluster	Synpcc7942_2021	Q31LL8
syc2099-h_at	similar to stage II sporulation protein D	Synpcc7942_2012	Q31LM7
syc2101-m_at	cytochrome c550	Synpcc7942_2010	Q31LM9
syc2107-h_at	group 3 RNA polymerase ECF-type sigma factor	Synpcc7942_2004	Q31LN5
syc2108-h_at	Uncharacterized protein	Synpcc7942_2003	Q31LN6
syc2109-h_at	Uncharacterized protein	Synpcc7942_2002	Q31LN7
syc2113-m_at	RRM-type RNA-binding protein	Synpcc7942_1999	Q31LP0
syc2114-h_at	hypothetical protein	Synpcc7942_1998	Q31LP1
syc2116-m_at	Uncharacterized protein	Synpcc7942_1996	Q31LP3
syc2120-m_at	probable translation initiation factor eIF-2B alpha subunit	Synpcc7942_1992	Q31LP7
syc2121-m_at	hypothetical protein	Synpcc7942_1991	Q31LP8
syc2124-m_at	hypothetical protein	Synpcc7942_1988	Q31LQ1
syc2125-h_at	hypothetical protein	Synpcc7942_1987	Q31LQ2
syc2129-h_at	phytoene dehydrogenase (phytoene desaturase)	Synpcc7942_1983	P26294
syc2132-h_at	LysR family transcriptional regulator	Synpcc7942_1980	Q99QJ5
syc2134-m_at	Trx (thioredoxin m)	Synpcc7942_1978	Q9ALA7
syc2136-m_at	NADH dehydrogenase subunit 4	Synpcc7942_1976	Q31LR3
syc2142-h_at	hypothetical protein	Synpcc7942_1969	Q31LS0
syc2144-h_at	bacitracin resistance protein	Synpcc7942_1967	Q31LS2
syc2145-h_at	hypothetical protein	Synpcc7942_1966	Q31LS3
syc2146-h_at	exopolyphosphatase	Synpcc7942_1965	Q31LS4
syc2147-m_at	4-hydroxybenzoate-octaprenyl transferase	Synpcc7942_1964	Q31LS5
syc2151-m_at	hypothetical protein	Synpcc7942_1960	Q31LS9
syc2152-h_at	proline-tRNA ligase	Synpcc7942_1959	Q31LT0
syc2153-m_at	hypothetical protein	Synpcc7942_1958	Q31LT1
syc2155-h_at	acetyl-CoA carboxylase beta subunit	Synpcc7942_1956	Q54776
syc2156-m_at	CTP synthetase	Synpcc7942_1954	Q54775
syc2160-h_at	hypothetical protein	Synpcc7942_1950	Q31LT9
syc2161-h_at	hypothetical protein	Synpcc7942_1949	Q54771
syc2164-m_at	hypothetical protein	Synpcc7942_1946	Q31LU3
syc2166-h_at	pyruvate dehydrogenase E1 component,	Synpcc7942_1944	Q31LU5
syc2174-m_at	hypothetical protein	Synpcc7942_1936	Q31LV3
syc2177-h_at	isopentenyl-dephosphate delta-isomerase	Synpcc7942_1933	Q31LV6
syc2178-h_at	hypothetical protein	Synpcc7942_1932	Q31LV7
syc2183-h_at	diaminopimelate epimerase	Synpcc7942_1927	Q31LW2
syc2185-m_at	probable peptidase	Synpcc7942_1925	Q31LW4
syc2187-m_at	group3 RNA polymerase ECF-type sigma factor SigG	Synpcc7942_1923	Q31LW6
syc2188-m_at	hypothetical protein	Synpcc7942_1922	Q31LW7
syc2195-m_at	chorismate mutase	Synpcc7942_1915	Q31LX4
syc2196-h_at	hypothetical protein	Synpcc7942_1914	Q31LX5
syc2197-h_at	Uncharacterized protein	Synpcc7942_1913	Q31LX6
syc2200-m_at	protein conferring resistance to acetazolamide Zam	Synpcc7942_1911	Q31LX8
syc2201-m_at	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	Synpcc7942_1910	Q31LX9
syc2204-m_at	aerobic Mg-protoporphyrin IX monomethylester cyclase	Synpcc7942_1907	Q31LY2
syc2205-m_at	hypothetical protein	Synpcc7942_1906	Q31LY3
syc2206-m_at	toxin secretion ABC transporter ATP-binding protein	Synpcc7942_1905	Q31LY4
syc2211-h_at	dCTP deaminase	Synpcc7942_1900	Q31LY9
syc2212-m_at	hypothetical protein	Synpcc7942_1899	Q31LZ0
syc2213-m_at	3-isopropylmalate dehydratase large subunit	Synpcc7942_1898	Q31LZ1
syc2214-m_at	putative transcripton factor DevT homolog	Synpcc7942_1897	Q31LZ2
syc2215-m_at	arginine biosynthesis bifunctional protein ArgJ	Synpcc7942_1896	Q31LZ3
syc2216-h_at	hypothetical protein	Synpcc7942_1895	Q31LZ4
syc2219-h_at	hypothetical protein	Synpcc7942_1892	Q31LZ7
syc2220-h_at	A negative regulator for circadian gene expression	Synpcc7942_1891	Q31LZ8
syc2222-m_at	hypothetical protein	Synpcc7942_1889	Q31M00
syc2225-h_at	single-strand-DNA-specific exonuclease RecJ	Synpcc7942_1886	Q31M03
syc2226-m_at	CbbY family protein	Synpcc7942_1885	Q31M04
syc2227-m_at	probable cytidyltransferase	Synpcc7942_1884	Q31M05
syc2229-m_at	photosystem II 12 kD extrinsic protein (psbU)	Synpcc7942_1882	Q31M07
syc2230-m_at	L-aspartate oxidase	Synpcc7942_1881	Q31M08
syc2233-m_at	transglutaminase family protein  hypothetical protein	Synpcc7942_1877	Q31M12
syc2234-m_at	hypothetical protein	Synpcc7942_1876	Q31M13
syc2239-m_at	hypothetical protein, probable RND efflux membrane fusion protein	Synpcc7942_1870	Q31M19
syc2243-m_at	hypothetical protein	Synpcc7942_1866	Q31M23
syc2244-h_at	hypothetical protein	Synpcc7942_1865	Q31M24
syc2245-h_at	hypothetical protein	Synpcc7942_1864	Q31M25
syc2247-h_at	Uncharacterized protein	Synpcc7942_1862	Q31M27
syc2253-h_at	putative cytidine and deoxycytidylate deaminase	Synpcc7942_1856	Q31M33
syc2260-h_at	group2 RNA polymerase sigma factor	Synpcc7942_1849	Q31M40
syc2265-m_at	hypothetical protein	Synpcc7942_1844	Q8GJN6
syc2266-m_at	hypothetical protein	Synpcc7942_1843	Q31M46
syc2271-m_at	light-independent protochlorophyllide reductase subunit B	Synpcc7942_1838	Q8GJN0
syc2272-m_at	hypothetical protein	Synpcc7942_1837	Q31M52
syc2273-m_at	hypothetical protein	Synpcc7942_1836	Q31M53
syc2275-h_at	Putative uncharacterized protein SEN0013	Synpcc7942_1834	Q8GJM6
syc2277-m_at	hypothetical protein	Synpcc7942_1832	Q31M57
syc2278-m_at	inosine-5'-monophosphate dehydrogenase	Synpcc7942_1831	Q31M58
syc2279-m_at	thioredoxin	Synpcc7942_1830	P12243
syc2281-h_at	hypothetical protein	Synpcc7942_1828	Q8GJL9
syc2282-h_at	Uncharacterized protein	Synpcc7942_1827	Q31M62
syc2285-m_at	hypothetical protein	Synpcc7942_1824	Q8GJL5
syc2288-h_at	hypothetical protein	Synpcc7942_1821	Q8GJL3
syc2289-m_at	hypothetical protein	Synpcc7942_1820	Q31M69
syc2291-m_at	hypothetical protein	Synpcc7942_1818	Q31M71
syc2297-h_at	hypothetical protein	Synpcc7942_1811	Q31M78
syc2305-m_at	Uncharacterized protein	Synpcc7942_1804	Q31M85
syc2309-h_at	hypothetical protein	Synpcc7942_1800	Q31M89
syc2311-h_at	Uncharacterized protein	Synpcc7942_1798	Q31M91
syc2312-h_at	Uncharacterized protein	Synpcc7942_1797	Q31M92
syc2315-h_at	aspartate transaminase	Synpcc7942_1794	Q31M95
syc2318-m_at	hypothetical protein	Synpcc7942_1791	Q31M98
syc2320-h_at	DnaJ protein	Synpcc7942_1789	Q31MA0
syc2322-m_at	nitrogen fixation protein NifU and related protein	Synpcc7942_1787	Q31MA2
syc2323-m_at	hypothetical protein YCF51	Synpcc7942_1786	Q31MA3
syc2325-h_at	group3 RNA polymerase sigma factor SigF2	Synpcc7942_1784	Q31MA5
syc2326-h_at	hypothetical protein	Synpcc7942_1783	Q31MA6
syc2332-h_at	hypothetical protein	Synpcc7942_1777	Q31MB2
syc2337-h_at	signal recognition particle protein	Synpcc7942_1771	Q55311
syc2339-h_at	Uncharacterized protein	Synpcc7942_1769	Q31MC0
syc2340-h_at	Uncharacterized protein	Synpcc7942_1768	Q31MC1
syc2348-h_at	alanine dehydrogenase	Synpcc7942_1760	Q31MC9
syc2349-m_at	hypothetical protein	Synpcc7942_1758	Q31MD1
syc2351-h_at	hypothetical protein	Synpcc7942_1755	Q31MD4
syc2355-m_at	hypothetical protein	Synpcc7942_1751	Q31MD8
syc2356-m_at	hypothetical protein YCF35	Synpcc7942_1750	Q31MD9
syc2358-m_at	hypothetical protein	Synpcc7942_1748	Q31ME1
syc2359-m_at	hypothetical protein, probable oxidoreductase	Synpcc7942_1747	Q31ME2
syc2361-m_at	hypothetical protein	Synpcc7942_1745	Q31ME4
syc2365-h_at	UDP-N-acetylmuramate-alanine ligase	Synpcc7942_1741	P95836
syc2366-m_at	UDP-N-acetylenolpyruvoylglucosamine reductase	Synpcc7942_1740	P95837
syc2370-h_at	ABC transporter ATP-binding protein	Synpcc7942_1736	Q31MF3
syc2374-m_at	hypothetical protein	Synpcc7942_1732	Q31MF7
syc2377-h_at	potassium-transporting ATPase D chain	Synpcc7942_1729	Q31MG0
syc2378-h_at	Uncharacterized protein	Synpcc7942_1728	Q31MG1
syc2379-h_at	hypothetical protein	Synpcc7942_1727	Q31MG2
syc2380-m_at	lipoprotein signal peptidase	Synpcc7942_1726	Q31MG3
syc2386-m_at	hypothetical protein	Synpcc7942_1720	Q31MG9
syc2388-m_at	glycolate oxidase subunit GlcE	Synpcc7942_1718	Q31MH1
syc2392-m_at	homoserine O-acetyltransferase	Synpcc7942_1714	Q31MH5
syc2395-h_at	hypothetical protein	Synpcc7942_1711	Q31MH8
syc2398-m_at	oligopeptidase A	Synpcc7942_1708	Q31MI1
syc2400-h_at	hypothetical protein	Synpcc7942_1706	Q31MI3
syc2402-h_at	Uncharacterized protein	Synpcc7942_1704	Q31MI5
syc2405-h_at	GDP-fucose synthetase  NAD dependent epimerase/dehydratase	Synpcc7942_1700	Q31MI9
syc2410-m_at	hypothetical protein	Synpcc7942_1695	Q31MJ4
syc2411-h_at	DNA gyrase A subunit	Synpcc7942_1694	Q31MJ5
syc2422-h_at	hypothetical protein	Synpcc7942_1683	P27368
syc2427-h_at	hypothetical protein	Synpcc7942_1678	Q31ML1
syc2429-m_at	Uncharacterized protein	Synpcc7942_1676	Q31ML3
syc2434-h_at	potassium-transporting ATPase C chain	Synpcc7942_1671	Q31ML8
syc2435-h_at	potassium-transporting ATPase B chain	Synpcc7942_1669	Q31MM0
syc2436-h_at	potassium-transporting ATPase A chain	Synpcc7942_1668	Q31MM1
syc2437-h_at	UDP-N-acetylmuramoylalanine--D-glutamate ligase	Synpcc7942_1667	Q31MM2
syc2438-h_at	hypothetical protein	Synpcc7942_1666	Q31MM3
syc2443-h_at	potassium channel protein	Synpcc7942_1660	Q31MM9
syc2445-h_at	hypothetical protein	Synpcc7942_1658	Q31MN1
syc2446-m_at	catalase peroxidase	Synpcc7942_1656	Q31MN3
syc2447-m_at	Uncharacterized protein	Synpcc7942_1654	Q31MN5
syc2448-m_at	glycerol dehydrogenase	Synpcc7942_1653	Q31MN6
syc2449-m_at	hypothetical protein, Fe-S oxidoreductase	Synpcc7942_1652	Q31MN7
syc2453-h_at	transcription regulator Fur family  hypothetical protein	Synpcc7942_1648	Q31MP1
syc2455-h_at	Uncharacterized protein	Synpcc7942_1646	Q31MP3
syc2456-h_at	ribonuclease III	Synpcc7942_1645	Q31MP4
syc2457-h_at	hypothetical protein	Synpcc7942_1644	Q31MP5
syc2458-h_at	hypothetical protein	Synpcc7942_1643	Q31MP6
syc2465-m_at	pterin-4a-carbinolamine dehydratase	Synpcc7942_1636	Q31MQ3
syc2467-m_at	probable porin; major outer membrane protein	Synpcc7942_1464	Q31N75
syc2469-m_at	cysteine synthase	Synpcc7942_1466	Q31N73
syc2470-m_at	hypothetical protein	Synpcc7942_1467	Q31N72
syc2483-h_at	amidotransferase HisH	Synpcc7942_1481	Q31N58
syc2484-m_at	hypothetical protein	Synpcc7942_1482	Q31N57
syc2486-h_at	UDP-N-acetylmuramoylalanyl-D-glutamate--2 6-diaminopimelate ligase	Synpcc7942_1484	Q31N55
syc2488-h_at	hypothetical protein	Synpcc7942_1486	Q31N53
syc2496-h_at	hypothetical protein	Synpcc7942_1494	Q31N45
syc2497-h_at	hypothetical protein	Synpcc7942_1495	Q31N44
syc2498-h_at	N-acetylglutamate kinase	Synpcc7942_1496	Q6V1L5
syc2499-h_at	hypothetical protein	Synpcc7942_1497	Q31N42
syc2501-h_at	probable methyltransferase	Synpcc7942_1500	Q31N39
syc2502-h_at	D-3-phosphoglycerate dehydrogenase	Synpcc7942_1501	Q31N38
syc2505-m_at	hypothetical protein	Synpcc7942_1504	Q31N35
syc2507-h_at	hypothetical protein	Synpcc7942_1506	Q31N33
syc2509-h_at	hypothetical protein	Synpcc7942_1508	Q31N31
syc2512-h_at	hypothetical protein	Synpcc7942_1511	Q31N28
syc2514-m_at	1-deoxy-d-xylulose 5-phosphate reductoisomerase	Synpcc7942_1513	Q31N26
syc2515-m_at	probable pseudouridine synthase	Synpcc7942_1514	Q31N25
syc2518-h_at	two-component sensor histidine kinase  hik34-like	Synpcc7942_1517	Q31N22
syc2526-m_at	RNA polymerase beta prime subunit	Synpcc7942_1524	Q31N15
syc2527-m_at	N-terminus of GTP-binding protein TypA homolog	Synpcc7942_1525	Q31N14
