Protein.Name	Gene.Name	Uniprot.ID	mRNA.ID	default.pvalue
Geranylgeranyl transferase type-2 subunit beta	Rabggtb	P53612;Q3TVF4;Q9JIF6;F8WH82	1419553_a_at	0.000789292348334459
Cytoplasmic protein NCK2	Nck2	O55033	1416796_at	0.0523592308521864
2,3-cyclic-nucleotide 3-phosphodiesterase	Cnp	P16330;P16330-2	1437341_x_at	0.261911544685232
Neuropilin-1	Nrp1	P97333	1457198_at	0.226501928406984
Peptidyl-prolyl cis-trans isomerase FKBP5	Fkbp5	Q64378;B8JJC2	1416125_at	1.39649911937277e-06
Integrator complex subunit 1	Ints1	Q6P4S8	1443793_x_at	0.0418887299357587
Protein ITFG3	Itfg3	Q8C0Z1;F6SQM4	1434387_at	0.470999958832627
Nuclear receptor-binding protein	Nrbp1	Q99J45;D3YUV1;F7AZ06;F7C5I8;F7C033	1423864_at	0.0132532421648008
Probable proline--tRNA ligase, mitochondrial	Pars2	A8Y5T6;Q8CFI5;A2AVQ7	1427309_at	0.928951931208085
H/ACA ribonucleoprotein complex subunit 2	Nhp2	Q9CRB2	1416605_at	0.0108757604463731
Eukaryotic translation initiation factor 5	Eif5	P59325;Q8BVV6;Q05CM5	1415723_at	8.14435632649001e-07
40S ribosomal protein S8	Rps8;Gm11353;Rps8-ps1;Gm5121	P62242;Q5SZV3;G3XA55;D3YW44	1436760_a_at	7.65550976705548e-07
E3 ubiquitin-protein ligase BRE1A	Rnf20	Q5DTM8;Q5DTM8-2;A2AIR2;A2AIR0;A2AIR1	1419916_at	0.0590546703961948
Actin-related protein 8	Actr8	Q8R2S9	1423385_at	0.000141602749116444
Four and a half LIM domains protein 1	Fhl1	A2AEX6;A2AEX8;P97447;A2AEY2;A2AEY1;A2AEX7;P97447-2;A2AEY0;A2AEX9	1459003_at	0.0197674183773251
Creatine kinase B-type	Ckb	Q04447	1455106_a_at	0.0033426295202948
Adenylate kinase isoenzyme 4, mitochondrial	Ak4	Q9WUR9;F8WH88;F6TEU8;A2ARF6;A2ARF5	1450387_s_at	6.99471720189601e-07
Leucine-rich repeat flightless-interacting protein 2	Lrrfip2	E9QN52;Q91WK0;Q91WK0-2;F6SL65	1436510_a_at	9.50573308442311e-07
Serine/threonine-protein kinase A-Raf	Araf	P04627;E9Q0P8;B1AUP0;B1AUN8;Q8CAD1	1426602_at	0.00790176701591774
Ribosomal protein;60S ribosomal protein L10a	Rpl10a	Q5XJF6;P53026;D3YXT2;D6RE43	1431177_a_at	0.128497337825563
COMM domain-containing protein 8	Commd8	Q9CZG3	1430129_a_at	0.0933242984151725
Mitochondrial fission process protein 1	Mtfp1	Q9CRB8	1424223_at	6.54225829392471e-07
Importin subunit beta-1	Kpnb1	P70168	1448526_at	7.10102223569065e-07
Pre-mRNA-processing factor 19	Prpf19	Q99KP6;Q99KP6-2;Q99KP6-3	1419839_x_at	0.0333325724804497
Tetratricopeptide repeat protein 33	Ttc33	Q9D6K7;D3Z767;D3Z1T8;Q9D6K7-2	1423958_a_at	0.128661950220602
P2X purinoceptor 4;P2X purinoceptor	P2rx4	Q9JJX6;Q9Z257;E9QNH4;Q9JJX6-3;D3Z5U5;Q9JJX6-2;Q9Z256;Q9JJX6-4;D3YYR5	1425525_a_at	8.79863177948605e-07
	Aim1	E9PVP1;F6Y889	1426942_at	0.114665120176045
Cytochrome c oxidase assembly protein COX15 homolog	Cox15	Q8BJ03;E9QPY1;Q8BJ03-2	1460376_a_at	0.386265690288443
Melanoma-associated antigen D1	Maged1	F6YTL0;Q9QYH6	1450062_a_at	0.227703048213827
Trafficking protein particle complex subunit 3	Trappc3	O55013	1416771_at	0.00192475490225503
Galactocerebrosidase	Galc	P54818;F6PYF7	1449900_at	0.190874834115036
Ras-related protein R-Ras2	Rras2	P62071	1417398_at	6.66721667315154e-07
COMM domain-containing protein 10	Commd10	Q8JZY2;Q3UTM6	1456236_s_at	0.615756601531171
Lysoplasmalogenase	Tmem86b	Q497J1	1432008_at	0.265161888124151
Drebrin-like protein	Dbnl	Q62418;Q62418-2;Q62418-3	1460334_at	0.101537132388133
Late secretory pathway protein AVL9 homolog	Avl9	Q80U56	1434659_at	0.00521798969908127
Methionine-R-sulfoxide reductase B3, mitochondrial	Msrb3	Q8BU85	1439151_at	0.0598107811168913
Tripartite motif-containing protein 14	Trim14	Q8BVW3;Q8BVW3-2;E9PV23;Q8BVW3-3	1436199_at	0.00371632316807453
Fermitin family homolog 3	Fermt3	Q8K1B8	1456014_s_at	0.0133416678926727
Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform	Ppp2r2d	Q925E7;F6RV17;G3UXS9	1420033_s_at	7.61333459747923e-07
Methylsterol monooxygenase 1	Msmo1	Q9CRA4;D3Z458	1423078_a_at	0.0595004721408784
Nitric oxide synthase-interacting protein	Nosip	Q9D6T0;Q9D6T0-2;D3YV75	1431428_a_at	0.00333261208820152
Brain protein 44	Brp44	Q9D023	1423833_a_at	0.00775857445011833
Lactation elevated protein 1	Lace1	Q3V384;F6VT60;E9Q4K2;F6RBS7	1427073_at	0.71083389825632
Heterogeneous nuclear ribonucleoprotein A3	Hnrnpa3	Q8BG05;A2AL12	1451184_at	0.195861419226894
Signal transducer and activator of transcription 2	Stat2	E9Q5T9;Q9QXJ2;E9QJX9;Q9WVL2;E9Q0H3	1421911_at	0.00111815744906116
PDZ and LIM domain protein 1	Pdlim1	O70400	1416554_at	0.00255370581216911
Fumarylacetoacetate hydrolase domain-containing protein 2A	Fahd2	Q3TC72	1431189_a_at	0.391995587255646
Carboxylesterase 3A	Ces3a	Q63880;Q63880-2	1451600_s_at	0.0225747774742266
26S proteasome non-ATPase regulatory subunit 2	Psmd2	Q8VDM4;Q80V77;E9Q2S8	1415831_at	0.483252959375049
Peroxisomal NADH pyrophosphatase NUDT12	Nudt12	Q9DCN1;Q9DCN1-2	1453139_at	0.561575811130784
GTP:AMP phosphotransferase, mitochondrial	Ak3	Q9WTP7;F6RP11	1423717_at	0.0141772508080901
Mitochondrial carnitine/acylcarnitine carrier protein	Slc25a20	Q9Z2Z6	1423109_s_at	0.179157981619769
Methionine aminopeptidase 2	Metap2	O08663	1436531_at	0.00372191366086012
Mitochondrial import inner membrane translocase subunit Tim9	Timm9	Q9WV98	1449886_a_at	0.00640263329271118
YTH domain family protein 1	Ythdf1	A2AWN8;P59326	1415767_at	0.358151159528243
ALS2 C-terminal-like protein	Als2cl	Q60I26;E9QP27;Q60I26-2	1433769_at	0.00504954998414341
Collagen alpha-1(XVIII) chain;Endostatin	Col18a1	E9QPX1;P39061;P39061-1;P39061-2;D3Z5C2	1426955_at	0.00333247612941659
Leucine zipper transcription factor-like protein 1	Lztfl1	Q9JHQ5;F6VTH5;F6VG18;E9Q9P1	1417170_at	7.37928976563866e-07
PTB-containing, cubilin and LRP1-interacting protein	Pid1	Q3UBG2;F7AIQ5;Q3UBG2-2	1436999_at	8.77973134487949e-07
Cytochrome b-c1 complex subunit 6, mitochondrial	Uqcrh	P99028	1453229_s_at	0.0362003597741495
Proton-coupled amino acid transporter 1	Slc36a1	Q8K4D3;Q5F228	1428793_at	0.00180406639896523
Synergin gamma	Synrg	Q5SV85;Q5SV85-2;F6YUG5	1457695_at	0.252487541637651
Ras association domain-containing protein 8	Rassf8	Q8CJ96;E9QA00	1452283_at	0.0249517782955404
Ribosomal RNA processing protein 1 homolog B	Rrp1b	Q91YK2	1452118_at	0.0298604813845315
UPF0172 protein FAM158A	Fam158a	Q9DB76	1418474_at	0.917585679003177
Calpain-2 catalytic subunit	Capn2	O08529;E9PWN1	1416257_at	0.000539808327690856
40S ribosomal protein S26	Rps26	P62855	1415876_a_at	0.156047448769535
Calpain small subunit 1	Capns1	O88456;D3YW48;Q9D7J7	1426400_a_at	0.043298310210098
Serine/threonine-protein kinase SIK3	Sik3	E9PU87;F6S7W6;E9QM33;Q6P4S6;F6U6U5;F6U8X4;Q6P4S6-2	1455437_at	0.0379073829500777
Endoplasmic reticulum lectin 1	Erlec1	F6U518;Q8VEH8;F6Z458	1451449_at	1.21392681754362e-05
	Serpinb9	O08797	1422601_at	0.00399468890738778
Serine--pyruvate aminotransferase, mitochondrial	Agxt	O35423-2	1418833_at	8.94383516594454e-07
Sorting nexin-3	Snx3	O70492;Q78ZM0;D3Z6Z0;D3Z789	1422480_at	0.0107802761779127
Tripeptidyl-peptidase 1	Tpp1	O89023	1434768_at	0.407074849263478
Serine--tRNA ligase, cytoplasmic	Sars	P26638;Q8C483;A2AFS0;A2AFS1	1426257_a_at	0.0837545264884846
Bis(5-nucleosyl)-tetraphosphatase [asymmetrical]	Nudt2	P56380	1418737_at	0.00110090790338999
DAZ-associated protein 1	Dazap1	Q3UGB5;Q9JII5;Q9JII5-2;D3Z4J1	1419275_at	8.86958121113102e-07
Calcium uniporter protein, mitochondrial	Mcu	Q3UMR5;Q3UMR5-2	1453166_at	7.19319383490949e-07
U1 small nuclear ribonucleoprotein 70 kDa	Snrnp70	Q62376;Q62376-2;Q99LY5	1451104_a_at	0.0492545556195118
Isoleucine--tRNA ligase, mitochondrial	Iars2	Q8BIJ6;E9PWN2;E9PWN3	1426735_at	6.99223370078541e-07
5-nucleotidase domain-containing protein 1	Nt5dc1	Q8C5P5;Q8C5P5-2;E9QN01;Q8C5P5-3	1460615_at	6.8145588484526e-07
Ubiquitin-like modifier-activating enzyme 5	Uba5	Q8VE47;F6VRI6;D6RH76	1451973_at	0.0468207830909567
Protein FAM114A2	Fam114a2	Q8VE88;Q8VE88-2	1451283_at	0.00466160986216178
Methylmalonyl-CoA epimerase, mitochondrial	Mcee	Q9D1I5	1438477_a_at	0.271790092371798
5-AMP-activated protein kinase subunit beta-1	Prkab1	Q9R078;Q6PAM0	1452457_a_at	0.468396415557381
Pre-mRNA-processing factor 40 homolog A	Prpf40a	Q9R1C7;Q9R1C7-2;A2AQW6	1442171_at	0.0776694284540783
E3 ubiquitin-protein ligase ARIH1	Arih1	Q9Z1K5	1427189_at	0.00366005947623438
Phenylalanine--tRNA ligase, mitochondrial	Fars2	Q99M01;G3X9Q4	1431354_a_at	8.79359998128519e-07
Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase	Paics	Q9DCL9;D3Z6P1;D6RCU8	1423565_at	2.44893945344148e-06
Thymocyte nuclear protein 1	Thyn1	Q91YJ3;Q8BJZ7	1438480_a_at	0.00588843501882989
Partitioning defective 3 homolog	Pard3	A5D6P2;G3XA13;Q99NH2;F6S7Z1;B7ZNY3;Q99NH2-2;E0CZE2;E0CXR8;Q99NH2-3;E9PYJ2;E0CXL4;E0CZ83;F6TSJ9;Q99NH2-5;E0CY24;E0CX45;F6UGU7;Q4JJC0;F6TB42;E0CXD3;E0CYB6	1434775_at	8.30548512493927e-07
24-hydroxycholesterol 7-alpha-hydroxylase	Cyp39a1	Q9JKJ9;F8WHF4;G3X998	1418780_at	0.00225645570222166
Peptide chain release factor 1-like, mitochondrial	Mtrf1l	Q8BJU9	1438025_at	0.42190615472351
Immunity-related GTPase family Q protein	Irgq	Q8VIM9	1435540_at	7.42505523170136e-07
	Uhrf1bp1	Q570Z6;B2KF50	1439482_at	0.00348336927683558
N-acylethanolamine-hydrolyzing acid amidase	Naaa	Q9D7V9;G3XA18	1452067_at	0.285272969430084
Beta-1,4-galactosyltransferase 5	B4galt5	Q9JMK0	1433617_s_at	1.33154176106685e-05
	Heatr2	B9EJR8	1435013_at	0.178584590735259
Dystonin	Dst	Q91ZU6-4;Q91ZU6-3;E9PXE5;Q91ZU6;E9Q9X1;Q91ZU6-2;E9QL23;E9PXR0	1423626_at	1.8106508789164e-06
Golgin subfamily A member 4	Golga4	Q91VW5;E9Q5J7;F6V6W2	1460213_at	0.112135588505163
Proteasome subunit alpha type-4;Proteasome subunit alpha type	Psma4	Q9R1P0;E9PW69;E9Q0X0	1460339_at	0.331309376004695
MIF4G domain-containing protein	Mif4gd	Q3UBZ5;A2A9W3;A2A9W1;Q3UBZ5-2	1451523_a_at	7.84210701924385e-05
Centrin-2	Cetn2	Q9R1K9;B1AUQ7	1418579_at	0.395224963191838
GRIP and coiled-coil domain-containing protein 2	Gcc2	B2RSU7;Q8CHG3;E9PWI6;E0CYI9;F6UT01;E0CY89	1429081_at	0.116445612631972
Adenomatous polyposis coli protein	Apc	Q61315;B2RUG9;Q61315-2;E9QLQ9;Q61315-3;Q61315-4;E9Q4H1	1420956_at	0.00238255301841128
Peripheral plasma membrane protein CASK	Cask	F8WGK4;O70589;O70589-5;O70589-4;O70589-3;B9EJ23;O70589-2;E9QM23;F6ZQR2;F6Y9I5;B1AUH5	1427692_a_at	0.000561075369952853
tRNA (guanine-N(7)-)-methyltransferase	Mettl1	Q9Z120;D3Z7D2	1439155_at	0.00730668643151559
Protein CutA	Cuta	Q9CQ89;D5MCW4	1451387_s_at	0.000551234790419892
Casein kinase I isoform alpha	Csnk1a1	E9PWB2;E9Q3W1;E9Q2U6;Q8BK63;E9Q4G7;Q8BK63-2;F6YBC9	1424827_a_at	0.0734891482550767
N-acetylated-alpha-linked acidic dipeptidase 2	Naalad2	G3UWC2;Q9CZR2	1422671_s_at	0.333393742502709
Guanine nucleotide-binding protein subunit alpha-13	Gna13	P27601;Q9D034	1430295_at	0.00198223192454369
Cytochrome c oxidase subunit 7A1, mitochondrial	Cox7a1	P56392	1418709_at	0.913791046520296
SPRY domain-containing protein 7	Spryd7;6330409N04Rik	Q3TFQ1;Q3UBW1	1429723_at	0.00653545271281771
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6	Ndufb6	Q3UIU2;A2AP32	1434057_at	0.240526782317633
Endophilin-A2;Endophilin-A1	Sh3gl1;Sh3gl2	Q62419;A2ALV3;Q62420;Q8BXU5;A2ALV1	1418791_at	0.15296804433422
Malectin	Mlec	Q6ZQI3;D3Z1M3	1448569_at	0.0401149075076413
Protein Hook homolog 2	Hook2	Q7TMK6;E9Q974	1419350_at	0.000306966006250742
Mitochondrial Rho GTPase 2	Rhot2	Q8JZN7;F8WJL2	1426822_at	0.399928264618843
Putative N-acetylglucosamine-6-phosphate deacetylase	Amdhd2	Q8JZV7;F6UP77;F7CUP3	1434855_at	6.16176884684713e-06
Leucine-rich repeat-containing protein 41	Lrrc41	Q8K1C9	1427125_s_at	0.00107916154242719
Nucleolysin TIAR	Tial1	Q921W2;P70318;D6RGU1;Q80ZW7;G5E8L2;Q8CII5;P52912;D3Z4H6;D3YY02;D3Z3Y4	1452821_at	0.00408976147215793
Mucolipin-1	Mcoln1	Q99J21-2;Q99J21	1416671_a_at	8.544896745731e-07
RAF proto-oncogene serine/threonine-protein kinase	Raf1	Q99N57-2;Q99N57;F6TUC4	1416078_s_at	0.00724481332165267
Exportin-T	Xpot	Q9CRT8	1441682_s_at	6.83930436338223e-07
Vacuolar protein sorting-associated protein 33A	Vps33a	Q9D2N9	1453742_at	0.00713072775535276
Coiled-coil domain-containing protein 56	Ccdc56	Q9D2R6;E9Q6W2	1419812_s_at	7.15282293625831e-07
Calcium-binding protein 39-like	Cab39l	Q9DB16;F8WGY6;Q9DB16-2	1446539_at	0.154741675760978
Palmdelphin	Palmd	Q9JHU2	1417251_at	9.11237986394547e-07
Prefoldin subunit 5	Pfdn5	Q9WU28;E9PZ62;E9PVG3;E9Q093;E9Q5Q8	1460637_s_at	0.00425604229734348
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1	Plcb1	Q9Z1B3;Q9Z1B3-3;Q9Z1B3-2;Q6ZQ92	1435043_at	0.000156405387225558
Ubiquitin-conjugating enzyme E2 N	Ube2n;Ube2nl	P61089;G5E8Z0;Q9CQ37	1435384_at	6.35610068022601e-07
Mitochondrial import inner membrane translocase subunit TIM50	Timm50	Q9D880	1455456_a_at	0.017902644230367
SH2B adapter protein 1	Sh2b1	Q91ZM2;Q91ZM2-4;Q91ZM2-3;Q91ZM2-2;Q91ZM2-6;Q91ZM2-5	1431438_at	0.0753473840000726
Nardilysin	Nrd1	A2A9Q2;Q8BHG1;A6PWC3;Q3V3G9	1449716_s_at	0.552670695939663
Ras GTPase-activating protein-binding protein 2	G3bp2	P97379;P97379-2	1423758_at	0.00813433536356693
Cytoplasmic dynein 1 intermediate chain 2	Dync1i2	A2BFF9;A2BFF5;Q3TPJ8;O88487;A2BFF8;E9PWC9	1415841_at	0.8398510438637
Gamma-glutamyl hydrolase	Ggh	Q9Z0L8;F8WHZ6;Q9Z0L8-2	1419595_a_at	0.375095730056961
Polycomb protein Suz12	Suz12	Q80U70;E9PW15	1452364_at	3.90764838471879e-05
Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed	Actb;Actg1	CON__P60712;P60710;P63260;F8WI82;E9Q607;E9Q1F2;E9Q5F4;G3UZ07;B1ATY1;E9Q606;G3UYG0;E9QAZ1	AFFX-b-ActinMur/M12481_M_at	4.60956913768244e-06
Transmembrane protein 33	Tmem33	Q9CR67;Q9CZM3;E0CXY5	1436028_at	7.01117912578029e-07
Zinc finger CCCH domain-containing protein 4	Zc3h4	Q6ZPZ3;E9Q8K8;Q6ZPZ3-2	1457458_at	0.0035038885642205
	Sec24a	A2AA71;F7C3S0;A2AA72;E9QAK4	1433934_at	0.050973903836617
FACT complex subunit SSRP1	Ssrp1	F8WGL8;Q08943-2;Q08943;A2AW05	1426789_s_at	0.108853509552087
Echinoderm microtubule-associated protein-like 2	Eml2	E9QK48;Q7TNG5-2;Q7TNG5;D3YWS2;D6RGM3	1428173_at	0.768891133985053
Ceruloplasmin	Cp	E9PZD8;G3X8Q5;Q61147;G3X9T8;G3UXG1;CON__ENSEMBL:ENSBTAP00000031900;G3UWP5	1441326_at	0.000685755590513721
	Gm4788	E9Q8B5;E9Q8B6;E9PUM5	1425999_at	0.0814051807177439
Serpin B6	Serpinb6a;Serpinb6	F8WIV2;Q60854;E9Q096;E9Q0P9;E9Q108;E9Q6X2;E9Q3Y1;E9PYY0;E9Q4R2;E9PZQ9	1450138_a_at	0.04227441459361
	Tpm1	G5E8R2;G5E8R1;E9Q456;E9Q453;E9Q455;G5E8R0;E9Q448;B7ZNL3	1423721_at	0.195713250415818
Glutamate--cysteine ligase regulatory subunit	Gclm	O09172;F6VNW5	1439050_at	3.14617405420048e-05
2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial	Gcat	O88986;E9PWY6	1417824_at	0.0426240984798628
60S ribosomal protein L27a	Rpl27a;Gm5908;Gm5453;Rpl27a-ps1	P14115;D3Z6J9;E9QP28;D3YZN6	1426661_at	0.186517370889324
Ras-related protein Rap-1A	Rap1a	P62835	1448020_at	0.228895540812838
Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12	Casp3	P70677	1449839_at	0.121580220844792
Cysteine and glycine-rich protein 1	Csrp1	P97315	1425811_a_at	0.0112456621718611
Protein PRRC1	Prrc1	Q3UPH1	1424058_at	0.00210575071704839
Nodal modulator 1	Nomo1	Q6GQT9	1451170_s_at	0.00017863082358754
Lysosomal Pro-X carboxypeptidase	Prcp	Q7TMR0;Q7TMR0-2	1452190_at	0.0131368974388296
Phosphoglucomutase-2	Pgm2	Q7TSV4	1451149_at	7.09106323436199e-07
U3 small nucleolar ribonucleoprotein protein MPP10	Mphosph10	Q810V0;E9Q4C9	1429080_at	0.00663208288900456
Nitrilase homolog 1	Nit1	Q8VDK1;Q8VDK1-2;D3YY53;D3Z3I3;D3Z2Y2	1417468_at	0.0251901744971946
	Ces2c;Ces2d-ps	Q91WG0;D3YWM6	1424245_at	0.221315819854673
U4/U6 small nuclear ribonucleoprotein Prp3	Prpf3	Q922U1;E0CYD0	1424314_at	0.430547158523963
Dehydrogenase/reductase SDR family member 1	Dhrs1	Q99L04	1415677_at	0.227270180999068
	Gstt3	Q99L20;G3UX05;G3UYL6;G3UX71	1423891_at	0.285110908254113
Heterogeneous nuclear ribonucleoprotein A0	Hnrnpa0	Q9CX86	1428407_at	6.90952832648054e-07
Superkiller viralicidic activity 2-like 2	Skiv2l2	Q9CZU3	1426718_at	0.0254320284090589
Prolyl-tRNA synthetase associated domain-containing protein 1	Prorsd1	Q9D820;Q9D820-2	1460456_at	0.720552457939342
Phosphoinositide 3-kinase adapter protein 1	Pik3ap1	Q9EQ32;Q9EQ32-2;Q9EQ32-3	1421285_at	0.0315939741848794
H/ACA ribonucleoprotein complex subunit 4	Dkc1	Q9ESX5;B7ZCL7;F6YUI5;A2AN81;F6S1S5	1438015_at	0.0157515169536724
Geranylgeranyl transferase type-2 subunit alpha	Rabggta	Q9JHK4;Q9JHK4-2	1426046_a_at	0.0251211708867231
60S ribosomal protein L38	Rpl38	Q9JJI8	1433472_x_at	0.0550231294757608
Band 4.1-like protein 1	Epb4.1l1;Epb41l1	A2AUK5;Q9Z2H5;A2AUK8;Q9Z2H5-2;Q9Z2H5-3;A2AUK7;A2AUK6;E9QMK1	1434575_at	0.378561161423818
UPF0366 protein C11orf67 homolog	1810020D17Rik	D3YZD8;D3Z442;Q8R0P4;D3YWY5;D3Z1Q3;Q8R0P4-2;Q8CF11;D3YX09	1451381_at	0.00469123790707688
cGMP-inhibited 3,5-cyclic phosphodiesterase B	Pde3b	Q61409;E9QLQ3	1433694_at	0.00518553970258306
Protein cordon-bleu	Cobl	Q5NBX1;G3UWY3;Q5NBX1-3;G5E8P4;Q5NBX1-2;Q5NBX1-4;G3UZ73;Q5NBX1-5;E9Q0E6;F6RR81	1434917_at	9.78007408305699e-07
Sulfate anion transporter 1	Slc26a1	G5E8U1;P58735;D3Z4W4	1458327_x_at	0.0469670038006935
Vasodilator-stimulated phosphoprotein	Vasp	P70460	1451097_at	9.50817524600002e-05
Phosphopantothenoylcysteine decarboxylase	Ppcdc	Q8BZB2	1424336_at	0.195808475239388
28S ribosomal protein S2, mitochondrial	Mrps2	Q924T2	1420846_at	0.00340878766794617
Ran-binding protein 3	Ranbp3	Q9CT10	1460612_at	0.135389035414092
Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial	Qrsl1	Q9CZN8	1456542_s_at	0.781796960348607
RNA 3-terminal phosphate cyclase	Rtcd1	Q9D7H3;D3Z263;D6RD00;D6REI7	1424095_at	6.3668851404279e-06
Syntaxin-12	Stx12	Q9ER00	1448936_at	6.02918839363014e-07
Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	Plod1	Q9R0E2;F6WNR1;A8Y5E6;E9PXE3	1416289_at	0.00020039447445703
Leucine-rich repeat-containing protein 57	Lrrc57	F6U0Y0;Q8JZX5;Q9D1G5;A2AKH7;B0R031	1428312_at	0.00664150223555634
Secernin-3	Scrn3	Q3TMH2;A2AWQ9	1436573_at	0.131362246681019
Cysteine-rich protein 2	Crip2	Q9DCT8	1417311_at	1.06369975770309e-06
	Slc35a3	E9Q3V2	1429648_at	7.47542234509679e-07
Glycosylphosphatidylinositol anchor attachment 1 protein	Gpaa1	Q9WTK3;E9PW03	1455954_x_at	0.000297182637823546
Tapasin	Tapbp	Q3TCU5;Q9R233;E9QKX9;Q9R233-2;G3UZZ2;G3UWL0	1421812_at	6.54912728415647e-07
Cyclin-dependent kinase 4 inhibitor C	Cdkn2c	Q60772	1416868_at	0.03374933889873
Vesicle-associated membrane protein 3	Vamp3	P63024	1456245_x_at	0.00161750225969297
COX assembly mitochondrial protein homolog	Cmc1	Q9CPZ8	1431510_s_at	7.38557076285646e-07
Dolichyldiphosphatase 1	Dolpp1	Q9JMF7;A2AWJ3	1428072_a_at	0.170585081785673
Serine/threonine-protein kinase 24;Serine/threonine-protein kinase 24 35 kDa subunit;Serine/threonine-protein kinase 24 12 kDa subunit	Stk24	Q99KH8	1426248_at	8.81350791148771e-05
COMM domain-containing protein 1	Commd1	Q8VI86;Q8K4M5;F7BZY0;F7BCN0;G8JL54	1424121_at	0.0232045180606235
Coronin-1C	Coro1c	Q9WUM4;E9PVJ1;E9PZJ0	1417752_at	0.038867717443695
Transcriptional repressor NF-X1	Nfx1	B1AY10;B1AY10-3;B1AY10-2	1419753_at	6.98702375289503e-07
tRNA 2-phosphotransferase 1	Trpt1	Q8K3A2	1452615_s_at	0.511263400586453
AF4/FMR2 family member 4	Aff4	Q9ESC8;B7ZNX0	1450031_at	7.30697932353186e-07
GDNF family receptor alpha-1	Gfra1	P97785;P97785-2;E9Q0F7	1439015_at	0.000153125882015557
Ankyrin repeat and FYVE domain-containing protein 1	Ankfy1	Q810B6;Q810B6-2	1417685_at	0.0704575662065426
Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase	Dhdh	F6Z0K0;Q9DBB8	1453487_at	0.0132434828969537
Acidic leucine-rich nuclear phosphoprotein 32 family member B	Anp32b	Q9EST5-2;E9QKP8;Q9EST5	1417082_at	0.461118843883207
Macrophage colony-stimulating factor 1 receptor	Csf1r	P09581;Q3TAZ7;Q3TBH6	1423593_a_at	0.44032784425273
Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform	Phka1	A2AI87;P18826;A2AI88;P18826-2;A2AI89;A2AI91	1422744_at	0.160218523344219
Microtubule-associated protein 4;Microtubule-associated protein	Map4;Mtap4	P27546;P27546-2;E9QPW8;P27546-3;E9PZ43;E9QKJ8;E9PWC0;P27546-4;Q78TF3;F6V4Z1;F6XPV7	1416091_at	0.0282041868005629
Cytoplasmic aconitate hydratase	Aco1	Q8VDC3;P28271	1423644_at	0.313582596895388
Threonine synthase-like 2	Thnsl2	Q80W22;F7AFM3	1451455_at	0.0224138930895233
Protein S100-A1	S100a1	Q91V77;P56565;D3YUT6	1419814_s_at	0.176523811674385
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6	Ndufa6	Q9CQZ5	1448427_at	0.0118811407832429
Afadin	Mllt4	Q9QZQ1-2;E9Q9C3;Q9QZQ1;E9Q852;E9Q316;E9PYX7;F7C3I9	1436303_at	0.012805946988421
Actin-like protein 6A	Actl6a	Q9Z2N8;D3YVN1	1416569_at	0.00488336183264517
Heterogeneous nuclear ribonucleoprotein M	Hnrnpm	Q9D0E1;Q9D0E1-2;B8JK32;B8JK33;E9Q0P7;F6W322;F7C9U3	1426698_a_at	0.208232447516646
Nucleoside diphosphate kinase;Nucleoside diphosphate kinase B	Gm20390;Nme2	E9PZF0;Q01768	1448808_a_at	0.000111956587629057
Glutathione S-transferase Mu 2	Gstm2	P15626;D3YX76;F6Y363	1416411_at	0.289092651266765
Epoxide hydrolase 2	Ephx2	P34914;P34914-2	1448499_a_at	0.0262779867350916
Corticosteroid 11-beta-dehydrogenase isozyme 1	Hsd11b1	P50172;Q3TJI8;F2Z3U6;E0CXE2;F6TSI8	1449038_at	0.551738413249141
Ubiquitin fusion degradation protein 1 homolog	Ufd1l	P70362;E9Q0Y6;E9Q646;E9Q475;F6SYJ2	1432367_a_at	0.00440731371435385
Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase	Gart	Q64737;Q64737-2;D6RCG1	1416283_at	0.0271771328905784
Probable aminopeptidase NPEPL1	Npepl1	Q6NSR8;F6T2H5	1434507_at	0.778330786537213
Gamma-taxilin	Txlng	Q8BHN1;Q8BHN1-3;Q8BHN1-2;E9Q249;A2AFJ4	1434681_at	0.105815467815706
Dihydropyrimidine dehydrogenase [NADP(+)]	Dpyd	Q8CHR6;F6Z9Z9	1427946_s_at	5.8894790969789e-07
Exportin-7	Xpo7	Q9EPK7;E9PUW7;Q9EPK7-2	1435814_at	0.01199798572921
Isocitrate dehydrogenase [NADP], mitochondrial	Idh2	P54071;D6RIL6	1450048_a_at	0.00300595135117032
