Protein.Name	Gene.Name	Uniprot.ID	protein_ZT0	protein_ZT03	protein_ZT06	protein_ZT09	protein_ZT12	protein_ZT15	protein_ZT18	protein_ZT21	protein_ZT24	protein_ZT27	protein_ZT30	protein_ZT33	protein_ZT36	protein_ZT39	protein_ZT42	protein_ZT45	protein_mean.level	protein_max.level	protein_rhythm.pvalue	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
Arylamine N-acetyltransferase 2	Nat2	P50295	1	1	1	2	1	0	3	1	2	0	3	0	1	0	2	2	1.25	3	0.276616764	290	25.03	27.5
Protein FAM98A	Fam98a	Q3TJZ6	1	2	1	2	1	1	2	2	1	0	1	0	0	1	0	1	1	2	0.287112425	515	22.01	23.59
Armadillo repeat-containing protein 6	Armc6	Q8BNU0;Q8BNU0-2	2	2	2	0	1	1	2	2	1	0	1	0	1	0	1	2	1.125	2	0.28358167	468	21.48	23.54
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2	Smarcd2	Q99JR8;Q99JR8-2;G3UXC0	1	1	1	1	1	1	2	1	0	0	1	0	1	0	1	1	0.8125	2	0.279794902	531	22.96	24.29
Influenza virus NS1A-binding protein homolog	Ivns1abp	Q920Q8;Q920Q8-3;Q920Q8-4;Q920Q8-2	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0.3125	2	0.304881627	642	23.35	25.73
NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	Ndufs1	Q91VD9	60	63	70	69	53	62	60	56	61	54	70	58	68	60	55	68	61.6875	70	0.407906402	727	22.56	24.86
Mitochondrial fission factor	Mff	E0CYB9;Q6PCP5;E0CYI3;Q6PCP5-2;Q6PCP5-3;F7CTF8;Q6PCP5-4;F7BC60	4	3	4	2	2	2	1	3	2	2	1	3	4	3	1	1	2.375	4	0.409941936	291	22.16	23.47
C-Jun-amino-terminal kinase-interacting protein 4	Spag9	E9Q460;Q58A65-2;Q58A65;Q58A65-6;Q58A65-5;F8WH31;Q58A65-4;E9PUD1;E9QJU2;Q58A65-3;F6SH61	4	5	9	8	4	5	5	8	7	7	6	6	6	7	4	4	5.9375	9	0.409706898	1321	21.85	23.57
Molybdopterin synthase sulfur carrier subunit	Mocs2	F6ZGI7;Q9Z224	2	3	2	2	2	2	1	2	3	2	3	1	3	1	2	3	2.125	3	0.410112122	88	22.64	24.33
T-complex protein 1 subunit zeta	Cct6a	P80317;E9QPA6	50	58	52	70	43	58	54	55	50	52	57	52	66	53	50	58	54.875	70	0.410345437	531	22.32	24.99
Selenide, water dikinase 2	Sephs2	P97364	18	26	25	25	18	28	25	25	23	22	25	23	23	28	23	36	24.5625	36	0.408893176	452	21.82	23.97
Amidophosphoribosyltransferase	Ppat	Q8CIH9	2	4	1	4	2	4	3	3	2	2	4	3	5	1	3	4	2.9375	5	0.409117669	NA	NA	NA
Guanine nucleotide-binding protein G(k) subunit alpha	Gnai3	Q9DC51	5	5	6	5	5	5	3	6	6	1	4	1	2	4	2	2	3.875	6	0.409191257	354	24.02	26.67
RING finger protein 114	Rnf114	Q9ET26;E9Q233	3	6	2	6	3	5	6	6	4	3	5	3	5	4	3	5	4.3125	6	0.409606792	229	23.15	24.57
Protein DJ-1	Park7	Q99LX0;A2A813;A2A815	24	42	40	40	20	36	39	33	38	35	34	38	39	33	36	40	35.4375	42	0.411311243	189	21.56	24.03
40S ribosomal protein S3a	Gm10119;Rps3a;Gm9000	D3Z6C3;P97351;D3Z7W7	13	20	30	20	12	22	17	18	20	25	23	14	24	20	23	23	20.25	30	0.412896929	264	23.83	26.39
Bile salt sulfotransferase 1	Sult2a1	P52843	4	7	3	5	4	3	4	7	4	1	6	3	4	2	5	4	4.125	7	0.412762839	285	26.82	29.9
Thioredoxin reductase 2, mitochondrial	Txnrd2	Q9JLT4-2;Q9JLT4;D3Z6K1;Q9JLT4-4;D3Z0K8;Q9JLT4-3	11	15	18	14	14	13	14	13	11	8	11	12	10	10	12	12	12.375	18	0.413137843	524	22.85	24.89
Ficolin-1	Fcn1;Fcna	O70165;E9PWA2	1	0	1	0	1	1	2	0	0	0	0	0	1	0	0	0	0.4375	2	0.308838535	334	23.23	25.29
	Clta	B1AWD9;B1AWD8;E9QM56;B1AWE1;Q6PFA2;B1AWE0	4	5	4	6	4	3	4	3	4	5	4	5	3	5	3	5	4.1875	6	0.416112048	NA	NA	NA
N-alpha-acetyltransferase 15, NatA auxiliary subunit	Naa15	G3X8Y3;Q80UM3	5	6	13	9	8	8	7	11	10	3	11	3	5	4	6	4	7.0625	13	0.414448378	865	24.43	26.69
Ribosomal RNA small subunit methyltransferase NEP1	Emg1	O35130	2	1	1	1	3	1	3	1	3	1	1	1	2	1	1	1	1.5	3	0.415982489	244	23.21	25.47
Indolethylamine N-methyltransferase	Inmt	P40936	50	66	68	61	47	52	54	62	71	51	50	59	54	63	56	50	57.125	71	0.415536854	264	23.8	26.24
Tumor susceptibility gene 101 protein	Tsg101	Q61187	6	4	6	5	3	5	6	4	4	5	5	4	5	5	9	7	5.1875	9	0.415606619	391	23.59	25.84
Acetyl-coenzyme A transporter 1	Slc33a1	Q99J27	3	5	4	6	3	3	5	5	7	5	8	8	3	6	5	2	4.875	8	0.415727353	550	25.04	28.46
Selenoprotein S	Sels	Q9BCZ4	2	3	2	2	3	1	2	3	3	1	4	3	2	2	3	4	2.5	4	0.414254539	190	22.19	23.37
Isochorismatase domain-containing protein 2B, mitochondrial	Isoc2b	Q9DCC7	3	5	7	4	3	7	6	3	4	4	6	7	6	6	7	5	5.1875	7	0.415667015	210	22.78	25.15
Transporter;Sodium- and chloride-dependent betaine transporter	Slc6a12	Q8VCS9;G5E8Z4;P31651;E9PXG1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0.25	1	0.309634088	614	26.56	29.86
Eukaryotic translation initiation factor 3 subunit M	Eif3m	Q99JX4;A2A702	17	13	21	18	19	11	13	14	20	10	18	13	14	12	18	14	15.3125	21	0.417205407	374	23.59	26.39
Trafficking protein particle complex subunit 4	Trappc4	Q9ES56;Q3V493	2	1	1	2	2	1	3	1	3	1	2	2	1	2	2	2	1.75	3	0.41729005	219	24.01	26.93
Activating signal cointegrator 1 complex subunit 2	Ascc2	Q91WR3-3;Q91WR3;E9Q3P7;Q91WR3-2	2	5	5	4	4	4	5	2	3	5	3	3	4	3	3	5	3.75	5	0.418212673	749	23.28	25.14
Ribose-phosphate pyrophosphokinase;Ribose-phosphate pyrophosphokinase 1	Prps1l3;Prps1	G3UXL2;Q9D7G0	4	4	8	3	3	3	4	6	6	7	3	3	3	6	4	3	4.375	8	0.41807469	318	22.8	25.3
Stromal membrane-associated protein 1	Smap1	Q91VZ6;D3YVX4	5	5	5	5	4	5	9	5	8	3	6	2	4	4	5	3	4.875	9	0.418566961	440	21.92	23.64
Glycylpeptide N-tetradecanoyltransferase 1	Nmt1	O70310	12	17	16	21	15	17	17	18	14	14	20	14	23	12	16	17	16.4375	23	0.419302891	496	24.48	26.62
Motile sperm domain-containing protein 2	Mospd2	B1AU74;Q9CWP6;Q9CWP6-3;Q9CWP6-2;Q9CWP6-4	0	2	2	3	1	3	0	3	2	1	3	3	1	2	3	2	1.9375	3	0.24970012	518	24.52	27.06
Hamartin	Tsc1	Q9EP53;Q9EP53-2;Q9EP53-3;E9Q267;Q9EP53-4	4	5	4	4	2	3	4	4	2	1	2	2	1	1	0	0	2.4375	5	0.264063511	1161	21.95	23.57
FYVE and coiled-coil domain-containing protein 1	Fyco1	E9Q4X0;Q8VDC1	2	1	3	6	5	4	5	5	3	0	6	0	3	1	2	4	3.125	6	0.261819672	1437	21.46	22.91
28S ribosomal protein S10, mitochondrial	Mrps10	G5E8U5;G5E8U8;E9QJS0;Q80ZK0	5	3	3	3	6	3	6	3	2	0	5	0	3	1	3	3	3.0625	6	0.246586847	160	24.93	26.8
WD repeat-containing protein 73	Wdr73	Q9CWR1-2;Q9CWR1;Q9CWR1-3;F6RXX6	0	0	2	1	1	2	2	3	1	1	2	1	2	1	2	2	1.4375	3	0.228851028	371	23.14	25.3
Iron-sulfur cluster co-chaperone protein HscB, mitochondrial	Hscb	Q8K3A0;F6UL52	2	2	1	2	2	2	2	3	0	1	1	1	2	1	1	0	1.4375	3	0.222903371	234	23.7	25.66
Myristoylated alanine-rich C-kinase substrate	Marcks	P26645	0	7	10	8	0	7	3	11	11	11	3	8	4	11	3	3	6.25	11	0.234820998	309	16.43	16.84
Biglycan	Bgn	P28653	5	1	1	2	2	2	4	3	2	0	2	1	2	0	2	3	2	5	0.234912831	369	24.01	26.85
Cytochrome c oxidase copper chaperone	Cox17	P56394	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0.875	1	0.265103468	63	22.33	23.04
Cathepsin O	Ctso	Q8BM88	0	1	3	0	1	2	3	2	1	2	2	2	1	3	2	1	1.625	3	0.267018577	312	24.38	26.54
Protein FAM192A	Fam192a	Q91WE2	1	2	1	2	1	2	2	2	2	1	1	1	2	2	0	0	1.375	2	0.258165196	254	21.43	22.84
Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	Pip4k2c	Q91XU3	2	2	3	4	3	3	3	4	1	0	3	2	4	0	2	1	2.3125	4	0.224973085	421	24.06	26.28
Reticulon-3	Rtn3	Q9ES97-3;Q9ES97;Q9ES97-2;Q9ES97-5;Q9ES97-4	1	2	1	2	1	2	1	2	2	2	1	1	0	1	0	1	1.25	2	0.256054473	964	21.5	23.73
Peptidyl-prolyl cis-trans isomerase FKBP9	Fkbp9	Q9Z247	2	2	2	2	2	2	2	2	1	2	0	1	2	1	1	0	1.5	2	0.259872944	570	23.67	26.26
Ribosomal protein 63, mitochondrial	Mrp63	Q9CQF8	4	3	3	3	3	3	3	2	3	1	3	1	3	1	3	3	2.625	4	0.419695597	102	25.35	26.38
Myosin-11	Myh11	Q69ZX3;E9QPE7;O08638;O08638-2	5	4	4	6	3	4	4	5	8	4	3	5	6	4	4	4	4.5625	8	0.420242977	1972	22.16	23.88
Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial	Hadh	Q61425	55	77	65	76	51	83	64	71	58	82	77	69	81	91	75	85	72.5	91	0.420300385	314	23.24	26.03
V-type proton ATPase subunit E 1	Atp6v1e1	P50518	2	3	4	4	1	4	3	2	3	2	4	3	3	3	4	4	3.0625	4	0.42059772	226	23.08	25.26
Basigin	Bsg	P18572;P18572-2	8	11	9	11	8	11	6	12	9	6	8	10	11	8	7	11	9.125	12	0.420923242	389	22.29	24.23
Signal transducer and activator of transcription 5B	Stat5b	P42232	16	11	9	10	14	9	9	10	9	7	10	10	10	10	9	8	10.0625	16	0.421699212	786	23.64	25.45
Guanine nucleotide-binding protein G(i) subunit alpha-2	Gnai2	P08752	12	7	16	9	14	7	7	9	16	8	11	9	7	9	6	8	9.6875	16	0.422846594	355	23.81	26.34
Voltage-dependent anion-selective channel protein 1	Vdac1	Q60932;Q60932-2;F2Z471	58	48	47	45	53	46	48	41	53	42	45	44	41	50	37	40	46.125	58	0.422156001	296	23.34	26.75
Transcription factor BTF3	Btf3	Q64152;Q64152-2	5	6	5	8	6	4	6	4	6	3	5	2	5	4	4	5	4.875	8	0.422791155	204	20.77	22.57
Mitochondrial ornithine transporter 1	Slc25a15	Q9WVD5	27	25	28	30	29	22	31	33	33	22	39	25	20	25	27	26	27.625	39	0.422426713	301	24.02	27.19
Endoplasmic reticulum resident protein 44	Erp44	Q9D1Q6	25	24	26	24	26	20	30	18	27	17	23	16	25	21	20	21	22.6875	30	0.423238357	406	24.18	26.34
Trans-2,3-enoyl-CoA reductase	Tecr	Q52L67;Q9CY27;G3UWE1	2	3	7	4	3	2	3	7	5	4	6	2	1	1	2	3	3.4375	7	0.423640094	308	27.56	30.38
Nuclear RNA export factor 1	Nxf1	Q99JX7	5	4	7	6	7	8	7	5	3	5	7	4	6	3	4	6	5.4375	8	0.424164972	618	23.2	25.17
DNA topoisomerase 3-beta-1;DNA topoisomerase	Top3b	Q9Z321;F6SDD7	3	4	3	3	3	3	4	3	3	2	3	2	3	2	3	3	2.9375	4	0.424434758	862	23.98	25.91
	Tsen15	G3X8S8;E0CY96	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0.3125	1	0.313560035	NA	NA	NA
Probable ubiquitin carboxyl-terminal hydrolase FAF-X;Ubiquitin carboxyl-terminal hydrolase	Usp9x	P70398;Q4FE56	16	9	14	10	14	7	11	11	10	8	11	5	6	6	8	11	9.8125	16	0.425734909	2559	23.79	25.95
UPF0556 protein C19orf10 homolog	D17Wsu104e	Q9CPT4	6	8	9	9	4	9	8	7	8	7	7	9	9	8	7	7	7.625	9	0.425508131	166	23.1	25.32
Nitric oxide-associated protein 1	Noa1	Q9JJG9;E9Q7D0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0.375	1	0.314457024	693	23.13	24.82
Peptidyl-tRNA hydrolase ICT1, mitochondrial	Ict1	Q8R035;Q8R035-2;A2A6T4	0	1	2	1	0	0	1	0	0	0	0	0	0	0	1	1	0.4375	2	0.316741124	206	23.06	24.65
	Vsig4	Q80WA3	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0.3125	1	0.31679438	NA	NA	NA
Bifunctional polynucleotide phosphatase/kinase;Polynucleotide 3-phosphatase;Polynucleotide 5-hydroxyl-kinase	Pnkp	G5E8N7;Q9JLV6;E9QML1;Q9JLV6-2;E9Q9A5	2	1	3	2	0	1	2	1	3	3	3	3	2	3	4	4	2.3125	4	0.266439398	522	22.86	24.78
Methylated-DNA--protein-cysteine methyltransferase	Mgmt	P26187	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	2	0.268987829	211	22.3	24.03
UV excision repair protein RAD23 homolog A	Rad23a	P54726;Q8CAP3;Q3TN85;Q8BRA9	2	2	3	2	2	1	2	1	2	1	2	1	4	0	2	1	1.75	4	0.268238557	363	21.22	22.38
Protein LLP homolog	Llph	Q9D945;Q9D945-2;D3YXW1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0.3125	1	0.321658428	130	23.54	24.79
Nuclear inhibitor of protein phosphatase 1	Ppp1r8	Q8R3G1;A2ADR8	3	1	3	2	3	1	3	1	2	1	2	1	2	1	2	3	1.9375	3	0.4284014	351	22.72	24.63
	Ddx23	D3Z0M9	3	2	2	3	6	3	4	5	5	6	6	2	8	6	10	5	4.75	10	0.428654727	NA	NA	NA
Transthyretin	Ttr	P07309	8	16	28	14	9	12	12	17	21	18	13	12	13	18	10	11	14.5	28	0.429283325	147	23.11	25.98
Olfactory marker protein	Omp	Q64288	1	0	1	0	0	2	1	0	1	0	1	0	0	0	1	0	0.5	2	0.322444461	163	23.64	25.71
Very long-chain acyl-CoA synthetase	Slc27a2	O35488	18	18	35	36	26	15	25	54	47	22	62	15	19	23	23	17	28.4375	62	0.430328034	620	24.76	27.5
Histidine ammonia-lyase	Hal	P35492	44	52	46	51	47	48	49	42	44	36	42	50	49	39	43	45	45.4375	52	0.431135448	657	22.91	25.11
60 kDa heat shock protein, mitochondrial	Hspd1	P63038;P63038-2	223	276	243	276	167	265	232	227	228	243	248	288	259	293	257	277	250.125	293	0.431232448	573	21.43	24.2
WD40 repeat-containing protein SMU1	Smu1	Q3UKJ7;Q3UKJ7-2	4	3	4	4	4	3	3	3	4	2	4	3	5	3	3	4	3.5	5	0.430902976	513	23.63	25.93
Eukaryotic translation initiation factor 2 subunit 2	Eif2s2	Q99L45	9	8	9	7	7	8	9	8	6	4	10	6	8	5	7	8	7.4375	10	0.429948199	331	22.88	24.96
ATPase family AAA domain-containing protein 1	Atad1	Q9D5T0	2	4	4	3	1	1	3	5	3	1	4	1	3	1	2	2	2.5	5	0.431361616	361	23.48	25.75
Ribosome-binding protein 1	Rrbp1	Q99PL5;A2AVJ7	58	72	90	77	54	74	74	78	83	69	76	59	72	72	65	69	71.375	90	0.432834582	1605	19.6	20.77
Alcohol dehydrogenase 1	Adh1	P00329	207	297	235	299	209	356	236	295	219	344	260	341	228	366	259	339	280.625	366	0.433026296	375	22.78	25.55
Phosphorylase b kinase regulatory subunit beta	Phkb	Q7TSH2;E9Q0V0	7	6	7	8	10	6	5	8	6	3	8	4	3	3	6	8	6.125	10	0.433108686	1085	24.25	26.59
Eukaryotic translation initiation factor 3 subunit F	Eif3f	Q9DCH4	12	15	13	14	10	17	16	11	13	12	17	14	17	14	15	17	14.1875	17	0.432812195	361	21.43	23.43
Enoyl-CoA delta isomerase 2, mitochondrial	Eci2	Q9WUR2;Q3TCD4;Q9WUR2-2;E9PVM6;E9PYA9;E9PUY9;E9Q858;E9PYC6;E9Q7A8	57	51	53	49	44	45	54	38	45	34	53	40	50	40	48	52	47.0625	57	0.432945362	391	23.23	25.85
	Mup2;Mup1	A9C497;A9C496	20	47	20	37	16	69	31	34	25	45	37	44	44	55	33	38	37.1875	69	0.433405544	NA	NA	NA
Aldehyde dehydrogenase, mitochondrial	Aldh2	P47738	150	218	169	215	147	219	191	181	174	188	179	208	174	236	180	184	188.3125	236	0.43575597	519	23.08	25.56
High mobility group protein B1	Hmgb1;Hmg1l1	P63158;D3Z351;D3YZ18;D3YVC6	29	35	31	38	28	34	29	32	30	28	33	35	41	32	32	29	32.25	41	0.4349399	215	23.12	24.62
Rab-interacting lysosomal protein	Rilp	Q5ND29	3	3	3	2	2	4	5	3	3	1	3	1	4	1	2	6	2.875	6	0.435522924	369	20.57	21.41
LIM and SH3 domain protein 1	Lasp1	Q61792;A2A6H0;A2A6G9	3	9	5	7	3	7	5	3	5	4	4	3	6	4	4	5	4.8125	9	0.435596805	263	23.09	24.29
Serine/threonine-protein phosphatase PGAM5, mitochondrial	Pgam5	Q8BX10;Q8BX10-2	1	1	3	2	2	1	1	3	1	2	2	4	1	2	1	1	1.75	4	0.433895159	288	23.04	24.68
Vacuolar protein sorting-associated protein 26B	Vps26b	Q8C0E2;Q8C0E2-2	5	6	8	7	6	7	5	6	7	6	3	7	4	8	4	2	5.6875	8	0.435596758	336	24.71	26.97
Heterogeneous nuclear ribonucleoprotein U-like protein 1	Hnrnpul1	Q8VDM6;Q8VDM6-2	6	6	8	4	11	5	6	3	9	2	4	3	8	3	4	3	5.3125	11	0.43460088	859	22.48	23.54
Thioredoxin domain-containing protein 17	Txndc17	Q9CQM5	5	5	5	5	4	4	3	3	7	4	4	5	4	4	5	5	4.5	7	0.435487096	123	24.37	26.66
Isocitrate dehydrogenase [NADP];Isocitrate dehydrogenase [NADP] cytoplasmic	Idh1	F8WIY0;O88844	158	182	165	188	133	172	174	157	162	150	183	182	174	181	175	178	169.625	188	0.436144173	414	24.16	26.73
Guanine nucleotide-binding protein G(q) subunit alpha	Gnaq	P21279	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0.3125	1	0.32553565	359	24.59	26.92
Hypoxanthine-guanine phosphoribosyltransferase	Hprt1	P00493	7	13	16	9	11	12	12	12	12	8	14	9	11	7	10	9	10.75	16	0.436594483	218	24.21	27.33
Protein QIL1	Qil1	Q8R404	5	14	6	14	5	14	13	8	11	6	14	3	14	5	11	14	9.8125	14	0.437318678	119	24.23	26.4
Cytochrome c oxidase subunit 7C, mitochondrial	Gm3386;Cox7c	E9Q463;P17665	5	2	2	5	5	9	5	5	1	6	3	7	1	6	2	1	4.0625	9	0.438188147	63	26.55	28.89
Cdc42-interacting protein 4	Trip10	Q8CJ53;Q8CJ53-2;Q8CJ53-3;Q8CJ53-4	5	9	6	12	5	6	6	8	3	3	1	6	3	4	3	3	5.1875	12	0.438370578	603	22.15	23.31
Regulator of nonsense transcripts 1	Upf1	Q9EPU0;Q9EPU0-2	26	39	46	34	27	33	36	25	35	34	32	29	36	29	35	31	32.9375	46	0.438236234	1124	22.71	24.76
Splicing factor U2AF 35 kDa subunit;Splicing factor U2AF 26 kDa subunit	U2af1;U2af1l4	G3UW94;Q9D883;Q8BGJ9;E9Q5J3;E9Q1I7;E9PXR5;E9PUZ3;E9Q5Y2;F8WH71;E9Q809	3	2	5	3	1	2	2	2	3	1	2	1	2	1	1	1	2	5	0.439080673	NA	NA	NA
39S ribosomal protein L47, mitochondrial	Mrpl47	Q8K2Y7	3	2	3	2	3	2	2	2	2	2	3	2	2	2	2	3	2.3125	3	0.439239268	252	25.1	26.75
Heterogeneous nuclear ribonucleoproteins A2/B1	Hnrnpa2b1	O88569;F6U106;O88569-2;O88569-3	52	70	64	71	47	59	57	56	67	51	50	67	57	66	47	47	58	71	0.440420666	353	22.2	24.25
Triosephosphate isomerase	Tpi1	P17751	76	81	63	79	62	82	80	72	66	82	64	83	61	82	63	65	72.5625	83	0.440547104	299	22.58	24.77
Wings apart-like protein homolog	Wapal	Q65Z40;B7ZP47	3	5	5	6	4	6	4	8	6	2	2	4	5	4	2	1	4.1875	8	0.442126092	1200	22.06	24.1
	Rasa1	E9PYG6;Q91YX7	0	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1.0625	2	0.278970145	NA	NA	NA
Transcriptional repressor protein YY1	Yy1	Q00899;Q8C6B5	5	3	5	3	5	1	5	3	2	1	1	0	3	2	3	1	2.6875	5	0.289653336	414	22.21	23.37
Nestin	Nes	Q6P5H2;Q6P5H2-2	0	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1.0625	2	0.28943818	1864	20.23	20.65
Huntingtin-interacting protein 1-related protein	Hip1r	Q6ZQ77;Q9JKY5	2	3	5	2	4	2	1	3	6	2	2	0	3	2	3	2	2.625	6	0.283165294	1068	21.81	23.3
Neutral cholesterol ester hydrolase 1	Nceh1	Q8BLF1	2	3	1	3	2	1	3	3	4	1	5	1	2	0	1	2	2.125	5	0.28067706	408	24.15	26.86
Single-stranded DNA-binding protein, mitochondrial	Ssbp1	Q8R2K3;Q9CYR0	1	3	8	4	0	5	2	4	7	4	4	4	5	4	5	7	4.1875	8	0.286912681	152	23.78	25.73
Leucine-rich repeat-containing protein 40	Lrrc40	Q9CRC8	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0.9375	1	0.289637102	602	22.68	25.2
Casein kinase II subunit alpha	Csnk2a2	O54833	5	3	2	5	6	4	5	4	6	0	3	2	1	2	2	3	3.3125	6	0.292222934	350	25.55	27.92
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	Ppp2r1a	Q76MZ3	41	45	44	41	37	38	43	38	38	31	41	31	41	31	36	39	38.4375	45	0.442562572	589	22.77	25.32
Dolichol-phosphate mannosyltransferase	Dpm1	O70152;A2BDX2	0	1	3	0	3	2	2	3	3	1	6	0	2	0	1	0	1.6875	6	0.308007579	260	24.05	26.59
Cysteine and glycine-rich protein 2	Csrp2	P97314;Q6QMT3	1	1	2	1	0	1	1	1	1	0	1	0	1	0	0	2	0.8125	2	0.336487652	193	23.45	25.47
Elongator complex protein 2	Elp2	Q91WG4;Q91WG4-2	2	1	0	1	2	0	1	1	1	1	1	0	0	0	1	1	0.8125	2	0.303838296	831	23.93	26.01
Brain acid soluble protein 1	Basp1	Q91XV3	2	0	3	3	0	1	3	1	4	2	0	3	0	2	0	1	1.5625	4	0.334139938	226	16.56	17.14
Probable ATP-dependent RNA helicase DDX20	Ddx20	Q9JJY4	1	4	2	1	1	3	1	2	2	0	0	0	2	2	0	0	1.3125	4	0.31749979	825	22.45	24.03
Partitioning defective 6 homolog beta	Pard6b	Q9JK83;Q9JK83-2	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0.6875	1	0.317627652	371	22.1	24.01
dCTP pyrophosphatase 1	Dctpp1	Q9QY93	1	1	1	1	1	1	1	1	0	1	0	2	0	0	0	1	0.75	2	0.332204043	170	21.76	22.8
Glutaryl-CoA dehydrogenase, mitochondrial	Gcdh	Q60759	30	31	25	34	23	28	32	26	31	24	38	25	35	31	35	29	29.8125	38	0.443792478	438	23.19	25.26
Filamin-A	Flna	Q8BTM8;B7FAU9;B7FAV1	36	35	38	29	40	36	39	34	35	16	38	18	35	17	29	33	31.75	40	0.444735245	2647	21.96	23.97
TBC1 domain family member 2B	Tbc1d2b	Q3U0J8	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1.0625	2	0.444953812	965	23.44	25.38
Tyrosine--tRNA ligase, mitochondrial	Yars2	Q8BYL4;E9PX65	2	1	3	1	1	3	3	2	2	1	3	1	3	1	3	3	2.0625	3	0.444493201	472	23.77	25.96
Protein archease	Zbtb8os	Q505B7;B2KGA7;Q505B7-2;A8Y5E9	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1.125	2	0.45371815	168	24.86	26.97
YLP motif-containing protein 1	Ylpm1	D3YWX2;E9Q803;Q9R0I7;F6YTL8;E9QAW2	2	3	2	4	3	3	6	3	1	3	3	4	3	4	3	3	3.125	6	0.453981299	1386	22.68	22.93
Ubiquitin-like modifier-activating enzyme 6	Uba6	Q8C7R4;D3Z061	14	10	13	11	12	10	12	9	13	9	13	9	13	12	11	14	11.5625	14	0.461229902	1053	23.7	26.04
V-type proton ATPase 16 kDa proteolipid subunit	Atp6v0c	P63082;E9Q9C5;D3Z3B2	3	2	5	2	4	2	3	3	6	2	4	3	2	2	2	2	2.9375	6	0.459338168	155	22.8	26.72
Inter-alpha-trypsin inhibitor heavy chain H3	Itih3	Q61704;E9PVS1	3	2	2	2	3	3	2	2	2	1	3	1	3	2	2	3	2.25	3	0.462831562	889	23.59	26.26
	Trappc8	E9PWG2;E9PY51	2	8	11	8	8	6	9	7	9	2	8	2	9	3	3	5	6.25	11	0.461758312	NA	NA	NA
Fatty acid-binding protein, brain	Fabp7	E9Q0H6;P51880	3	4	1	3	2	4	5	5	2	1	3	1	4	4	4	4	3.125	5	0.451592709	132	23.61	26.23
Ubiquitin-conjugating enzyme E2 H	Ube2h;Gm2058	P62257;E9Q3U1;E9Q262;D3Z2I4	7	4	6	4	7	6	5	3	4	2	6	3	5	3	6	6	4.8125	7	0.445949967	183	23.56	25.79
Ran-binding protein 9	Ranbp9	E9Q5D6;F8WGD6;P69566;P69566-2	1	2	1	3	1	2	2	1	1	2	2	1	1	2	2	1	1.5625	3	0.461573563	653	22.27	23.84
Unconventional myosin-Ie	Myo1e	E9Q634	3	1	3	2	6	1	2	3	5	1	3	1	1	1	1	1	2.1875	6	0.458369006	1107	24.2	26.38
Sorting nexin-9	Snx9	Q91VH2;E9QNH3	14	15	20	16	17	12	17	13	16	9	11	10	16	11	13	14	14	20	0.453489325	595	23.37	25.47
Heterogeneous nuclear ribonucleoprotein L-like	Hnrpll	Q921F4;F6SB69	3	5	6	5	3	5	8	5	5	2	8	3	8	3	7	8	5.25	8	0.453345184	591	22.19	24.37
UDP-N-acetylhexosamine pyrophosphorylase-like protein 1	Uap1l1	F7AWB4;Q3TW96;Q3TW96-2	4	4	2	3	5	3	5	2	3	3	3	3	5	3	3	3	3.375	5	0.461767444	507	23.04	24.85
4F2 cell-surface antigen heavy chain	Slc3a2	G3UWA6;P10852	3	4	4	5	1	6	4	4	5	3	3	1	6	4	2	2	3.5625	6	0.44957206	526	23.2	25.8
Proteasome activator complex subunit 2	Psme2	P97372;G3X9V0;E0CZ90	18	24	23	26	18	18	24	19	28	23	21	28	21	27	21	28	22.9375	28	0.458999525	239	23.49	25.87
Caspase-6;Caspase-6 subunit p18;Caspase-6 subunit p11	Casp6	O08738	8	10	5	7	6	10	6	9	7	6	10	8	8	7	9	7	7.6875	10	0.450723278	276	24.54	26.9
Lysosome membrane protein 2	Scarb2	O35114	5	7	6	7	2	6	6	5	8	3	6	4	7	5	5	7	5.5625	8	0.4486991	478	24.57	27.5
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	Ddost	O54734	19	20	19	24	16	18	20	19	22	16	22	20	16	16	14	15	18.5	24	0.464095592	441	24.04	26.95
