Protein.Name	Gene.Name	Uniprot.ID	ZT0	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45
Hepatocyte nuclear factor 1-alpha	Hnf1a	P22361	3	2	1	2	1	2	3	1	1	1	1	1	1	1	1	1
Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1	Opa1	P58281-2;P58281;E0CXD1	23	27	31	28	23	22	28	22	23	14	30	17	29	18	23	30
Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform	Ppp3ca	P63328;P63328-2;Q4V9X0	2	2	4	1	6	4	4	2	2	1	2	1	2	1	7	5
	Dnm2	Q3T9X3;F8WIV5;Q3TCR7;G3UZZ3	23	22	23	19	21	16	29	15	18	12	24	14	22	12	18	24
Sorting nexin-33	Snx33	Q4VAA7	12	11	11	9	13	10	11	11	10	4	12	4	15	5	11	13
Small glutamine-rich tetratricopeptide repeat-containing protein alpha	Sgta	Q8BJU0;Q8BJU0-2	6	8	8	7	3	7	4	5	7	3	4	3	9	5	4	7
Nuclear pore complex protein Nup133	Nup133	Q8R0G9	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	2
Carboxymethylenebutenolidase homolog	Cmbl	Q8R1G2	32	43	35	41	26	35	28	36	35	26	26	37	33	29	33	27
Cytochrome b-c1 complex subunit 9	Uqcr10	Q8R1I1	4	4	4	3	2	3	4	4	4	3	4	3	4	5	3	3
Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial	Coq4	Q8BGB8;B7ZCV4;D6RJJ8	3	4	2	4	3	3	5	3	2	1	5	1	4	2	1	1
Protein TBRG4	Tbrg4	Q91YM4;E9PUT1	3	7	8	7	6	5	5	7	9	6	9	3	6	4	7	9
Ubiquitin-conjugating enzyme E2 variant 2	Ube2v2	Q9D2M8;A6X925;Q9D2M8-2;B2KF55	5	6	3	8	4	6	5	4	3	4	6	5	7	4	2	3
PERQ amino acid-rich with GYF domain-containing protein 2	Gigyf2	Q6Y7W8;G3UYG6;G3UWR2;G3UYR9;E9Q2M5;G3UZX7	3	6	5	6	3	6	7	6	5	3	4	1	5	4	3	2
DNA topoisomerase 1	Top1	Q04750	9	11	8	7	6	8	9	6	9	3	8	2	7	1	6	5
Aldehyde dehydrogenase family 8 member A1	Aldh8a1	Q8BH00	75	75	81	82	73	80	82	76	78	63	81	71	80	75	79	88
28S ribosomal protein S35, mitochondrial	Mrps35	Q8BJZ4	9	12	7	10	8	7	7	7	6	7	11	8	7	6	8	6
StAR-related lipid transfer protein 5	Stard5	Q9EPQ7;D3YU00	7	7	10	7	4	7	6	7	7	5	11	5	11	5	9	12
Transmembrane emp24 domain-containing protein 2	Tmed2	Q9R0Q3;F6V6T4	7	6	5	5	7	5	6	6	5	3	9	3	8	2	5	6
Translation initiation factor eIF-2B subunit alpha	Eif2b1	Q99LC8;D3Z151	1	1	3	1	1	1	0	0	2	0	3	0	3	0	4	2
Protein KHNYN	Khnyn	Q80U38	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1
Protein EFR3 homolog A	Efr3a	F8WHB0;Q8BG67-2;D3Z384;Q8BG67	4	4	8	5	3	5	5	6	7	2	1	1	4	0	4	8
mRNA cap guanine-N7 methyltransferase	Rnmt	Q9D0L8;Q9D0L8-3;Q9D0L8-2;D3YYS7;D3Z478	3	2	5	3	4	2	4	3	1	0	1	1	2	1	3	1
Indoleamine 2,3-dioxygenase 2	Ido2	A4UHF3;E9QKA9;Q8R0V5	5	4	5	4	4	5	5	4	7	4	6	4	5	3	6	5
40S ribosomal protein S25	Gm4963;Rps25	D3YXG3;P62852	31	29	27	30	26	26	29	24	28	25	26	30	25	30	25	24
	2810007J24Rik	Q8BGL3;E9QAK1;B1PQU4	61	57	60	67	61	54	62	64	59	58	54	61	53	60	52	61
Abhydrolase domain-containing protein 10, mitochondrial	Abhd10	Q6PE15;Q6PE15-2;F6X5P5	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	2
Dihydropteridine reductase	Qdpr	Q8BVI4;D3YWR7	96	129	117	126	77	114	106	103	96	81	123	88	136	95	102	124
Epidermal growth factor receptor substrate 15-like 1	Eps15l1	Q60902;F8WJ42;Q60902-2;Q60902-4;F6Q0T0;Q60902-3;F6ZE93	7	6	8	6	7	6	7	6	4	3	5	3	8	2	5	7
60S ribosomal protein L13a	Rpl13a;Rpl13a-ps1	P19253;E9Q5A0;D3YY61;Q3TDS9	5	7	8	6	6	7	5	5	5	3	5	4	5	5	4	5
Disks large homolog 1	Dlg1	Q811D0-3;Q811D0-2;E9Q9H0;Q811D0;D3Z3B8;F6UDT8	10	9	10	10	10	10	8	10	6	4	6	5	9	6	6	6
Hormone-sensitive lipase	Lipe	E9Q4M2;Q8CDI9;P54310	7	5	4	5	6	3	3	3	5	4	5	4	4	2	5	5
Protein canopy homolog 3	Cnpy3	Q9DAU1	2	6	6	6	2	6	4	5	4	4	7	4	4	3	7	8
Nucleolar RNA helicase 2	Ddx21	Q9JIK5	11	12	19	12	8	14	11	16	14	14	16	10	13	13	11	8
ADP/ATP translocase 1	Slc25a4	P48962	1	0	2	0	0	0	1	0	2	0	4	0	0	0	0	1
	Slc22a28;Slc22a30	B2RT89;Q96LX3;E9PUM7;E9PVA5;Q3V3G0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0
Pescadillo homolog	Pes1	Q5SQ20;Q9EQ61	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
Lethal(2) giant larvae protein homolog 2	Llgl2	Q3TJ91	2	4	6	4	2	4	3	4	5	4	3	4	4	6	3	1
Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6	Hcfc1	B1AUX2;Q61191	6	6	6	5	8	4	4	4	8	6	4	4	6	5	5	6
Tight junction protein ZO-3	Tjp3	E9QL54;Q921G9;Q9QXY1	1	1	2	2	1	1	2	2	1	2	1	2	2	1	1	1
	Arfgef1	G3X9K3	4	5	6	6	6	4	5	6	7	5	5	3	4	4	4	4
Oxysterol-binding protein;Oxysterol-binding protein-related protein 11	Osbpl11	G5E8A0;Q8CI95	2	4	4	4	3	4	2	4	5	4	3	3	4	3	4	2
Carboxylesterase 3B	Ces3b	G5E8K9;Q8VCU1;G5E8G7;Q8VCU1-2	14	16	15	14	11	14	16	15	12	14	17	11	17	17	19	16
Tetranectin	Clec3b	P43025;Q8CFZ6	1	3	4	3	2	4	1	3	2	1	2	3	4	3	3	3
E3 ubiquitin-protein ligase RBX1	Rbx1	P62878	3	5	3	3	3	3	4	3	6	2	6	2	4	3	2	2
Peptidylprolyl isomerase domain and WD repeat-containing protein 1	Ppwd1	Q8CEC6	6	5	4	9	6	3	8	7	3	3	1	3	3	3	3	3
Solute carrier family 25 member 45	Slc25a45	Q8CFJ7;Q8CFJ7-2	1	2	2	1	2	3	3	2	2	1	3	2	1	1	1	2
Transcription elongation regulator 1	Tcerg1	Q8CGF7;Q8CGF7-2;Q8CGF7-3	6	9	9	8	4	7	12	7	7	5	9	6	12	5	7	7
	4921530L21Rik	Q9CQ47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6-phosphogluconolactonase	Pgls	Q9CQ60;Q8CBG6;D3Z4X1	18	29	22	31	17	28	27	20	17	18	28	19	25	22	23	26
Elongation factor Ts, mitochondrial	Tsfm	Q9CZR8	2	3	4	4	1	5	6	3	3	2	4	1	5	2	3	3
Ras suppressor protein 1	Rsu1	Q9D031;Q01730;A2AUR7	5	4	5	5	4	4	6	4	4	4	6	4	6	5	7	5
Endoplasmic reticulum aminopeptidase 1	Erap1	Q9EQH2;F8WIM4	23	20	27	25	23	19	29	23	31	16	32	14	32	18	26	26
CD2-associated protein	Cd2ap	Q9JLQ0	9	13	16	13	10	12	13	13	13	13	13	11	9	14	12	11
SUMO-activating enzyme subunit 2	Uba2	Q9Z1F9	4	3	5	3	3	3	5	4	6	3	4	1	4	3	3	4
Serine-threonine kinase receptor-associated protein	Strap	Q9Z1Z2	23	23	18	21	17	24	25	18	16	18	23	20	22	19	17	21
DCN1-like protein 1	Dcun1d1;Tes3-ps	Q9QZ73;D3Z546;Q3UT23;D3Z2L7;D3Z0B8;D3YUG2	0	1	4	1	1	1	1	2	2	0	1	1	2	0	1	2
Protein mago nashi homolog;Protein mago nashi homolog 1-related	Magoh;Magoh-rs1	P61327;Q9CQL1	7	7	5	8	9	9	6	7	5	3	7	4	4	4	4	7
60S ribosomal protein L5	Rpl5	P47962;D3YYV8	27	41	39	37	19	33	35	33	38	27	43	32	43	27	39	40
Transcription elongation factor B polypeptide 1	Tceb1	P83940	8	7	10	7	7	6	7	6	7	7	8	7	9	5	8	9
Protein ETHE1, mitochondrial	Ethe1	Q9DCM0	18	13	15	13	14	12	16	12	15	11	13	11	14	10	15	16
Sorcin	Sri	Q6P069;Q6P069-2	2	5	5	5	1	5	3	4	5	5	6	5	6	7	7	4
Protein RER1	Rer1	Q9CQU3	4	5	6	7	4	3	5	7	5	2	6	2	4	2	1	2
Transcriptional regulator ERG	Erg	P81270;P81270-2;P81270-3;E9PY05;P81270-4;F8WHS1;D3YU51;F8WHG9	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
Rab GTPase-activating protein 1	Rabgap1	A2AWA9;A2AWA9-2;A2AWA7	4	7	5	5	3	6	5	6	6	3	5	2	6	2	4	4
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2;3-beta-hydroxy-Delta(5)-steroid dehydrogenase;Steroid Delta-isomerase	Hsd3b2	P26149	1	2	1	2	2	3	2	3	1	1	2	1	1	2	1	3
Ubiquitin-like modifier-activating enzyme 1	Uba1	Q02053	64	72	73	69	56	69	68	58	74	65	72	71	74	71	72	75
Core histone macro-H2A.1	H2afy	Q9QZQ8;Q9QZQ8-2	13	10	10	11	11	10	11	10	10	6	14	6	12	8	8	9
Gamma-glutamyltransferase 5;Gamma-glutamyltransferase 5 heavy chain;Gamma-glutamyltransferase 5 light chain	Ggt5	Q8C7B4;Q9Z2A9;Q9Z2A9-2	0	0	0	1	0	1	0	0	1	0	2	0	1	0	1	2
Serum amyloid P-component	Apcs	P12246	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0
Aldehyde dehydrogenase, cytosolic 1	Aldh1a7	O35945	72	78	85	82	74	74	82	66	74	61	87	68	80	74	80	96
NudC domain-containing protein 1	Nudcd1	Q6PIP5	3	6	6	5	3	2	4	1	2	1	5	1	5	1	3	5
Nck-associated protein 1	Nckap1	A2AS98;P28660;E9QQ62;P28660-2	1	0	3	4	2	1	1	2	3	1	1	1	0	1	0	1
ERI1 exoribonuclease 3	Eri3	Q8C460;E9PZV1;Q8C460-2;Q8C460-3;F6YFN0	2	3	3	3	2	1	2	1	3	1	0	1	2	1	0	0
Ryanodine receptor 2	Ryr2	E9Q401	1	1	2	1	2	1	2	1	0	2	0	1	1	1	0	1
Phosphatidylinositol 3-kinase regulatory subunit alpha	Pik3r1	P26450;Q80UI5	1	1	3	0	4	1	2	2	1	0	3	0	1	1	4	2
Serine/arginine repetitive matrix protein 2	Srrm2	Q8BTI8;Q8BTI8-3;Q8BTI8-2	6	3	3	1	5	2	3	2	1	0	2	0	5	0	3	5
Retinoblastoma-binding protein 5	Rbbp5	Q8BX09;Q8BX09-2	2	2	2	3	4	3	1	3	1	0	1	1	3	0	0	1
DNL-type zinc finger protein	Dnlz	Q9D113	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1
Mitochondrial carrier homolog 2	Mtch2	Q791V5;Q9D050;A2AFW6	6	7	9	9	6	5	6	7	7	5	8	7	5	5	3	5
Alcohol dehydrogenase [NADP(+)]	Akr1a1	Q9JII6;B1AXW3	60	71	79	71	54	66	76	61	60	67	66	67	73	71	63	62
Scavenger receptor class B member 1	Scarb1	Q61009;D3Z2V4;F7C5U2	0	1	2	1	1	1	1	1	2	1	3	1	1	1	1	0
Hepatitis A virus cellular receptor 2 homolog	Havcr2	Q8VIM0;D3Z3I4	1	2	0	3	0	2	2	4	4	5	2	5	2	4	4	2
Long-chain-fatty-acid--CoA ligase 3	Acsl3	Q9CZW4;E9PUC2	0	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1
Protein transport protein Sec61 subunit beta	Gm10320;Sec61b	E9PW43;Q9CQS8	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1
Brain protein 44-like protein	Gm3452;Brp44l	E9PXT1;P63030;D3Z786;E9Q0V4;D3Z5S0;D3YWY6	0	6	6	4	0	5	5	7	4	4	14	4	4	5	8	12
Mitochondrial carrier homolog 1	Mtch1	Q791T5;E9QAS0;Q791T5-2;D3YXC2	2	1	1	1	2	1	1	1	2	2	1	1	1	1	0	0
Serine/threonine-protein phosphatase 1 regulatory subunit 10	Ppp1r10	Q80W00;F8WIK6;Q80W00-2	2	1	6	2	3	1	1	1	2	1	1	0	2	0	2	2
Phosphorylated adapter RNA export protein	Phax	Q9JJT9;G5E8V8;F6RPD4	1	1	1	1	1	0	1	1	0	2	1	2	1	2	1	2
A-kinase anchor protein 10, mitochondrial	Akap10	O88845;O88845-3;O88845-2	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1
Exocyst complex component 1	Exoc1	Q6P1Y9;Q8R3S6;Q5PPR2	2	0	3	5	2	2	4	5	4	1	1	0	4	2	2	2
Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	Fnta	Q61239	1	2	1	2	1	1	1	3	1	0	3	2	3	1	0	1
Interferon-induced protein with tetratricopeptide repeats 3	Ifit3	Q64345	3	0	2	1	3	1	3	0	1	1	2	1	2	1	1	3
ATP-dependent RNA helicase Dhx29	Dhx29	Q6PGC1	0	0	2	2	1	1	1	2	2	1	3	1	2	1	2	1
Beta-adrenergic receptor kinase 1	Adrbk1	Q99MK8;Q7TS64;E9PW16;F6QY34	1	0	1	2	0	1	1	1	2	1	1	1	2	1	1	1
Coagulation factor XIII A chain	F13a1	Q8BH61	2	4	3	3	0	3	2	3	3	0	2	2	4	3	4	3
Conserved oligomeric Golgi complex subunit 2	Cog2	Q921L5;E9Q5N6	2	4	2	5	3	3	3	1	1	1	2	2	4	1	0	0
Nucleolar protein 16	Nop16	Q9CPT5;D3Z7M5	0	3	3	2	0	2	3	2	3	3	3	2	3	2	2	3
MAGUK p55 subfamily member 5	Mpp5	Q9JLB2	1	2	3	2	2	2	2	2	3	1	2	0	3	0	2	3
Serine protease HTRA2, mitochondrial	Htra2	Q9JIY5;D3YX27;D3YX28;F6TCV0;F6XUR8	3	4	6	6	4	3	5	4	6	4	4	6	4	5	7	5
Sarcolemmal membrane-associated protein	Slmap	Q3URD3;Q3URD3-2;D3Z7V3;F8WIH0;F6YCM8;Q3URD3-5;Q3URD3-3;Q3URD3-4	4	2	5	2	3	2	3	4	2	1	2	1	2	1	2	2
Palmitoyl-protein thioesterase 1	Ppt1	E9PVY4;O88531	7	12	9	10	9	8	10	6	9	7	6	8	8	7	9	8
RNA-binding protein 14	Rbm14	Q8C2Q3;E9Q205;Q8C2Q3-2;E9QL13;E9PXP4	3	4	5	2	4	4	4	3	3	2	3	2	3	3	4	1
Chromodomain-helicase-DNA-binding protein 4	Chd4	E9QAS5;Q6PDQ2;E9QAS4	2	4	6	7	3	3	4	4	7	2	3	3	5	3	2	2
Zinc finger protein 638	Zfml;Znf638	F8WGM9;Q61464;E9QML5;Q61464-4;E9QKZ7;Q61464-5;Q61464-2;E9QKZ8;Q61464-7;E9Q1G5	4	2	8	2	5	3	2	4	5	5	3	2	3	4	2	2
DNA-directed RNA polymerase II subunit RPB1	Polr2a	P08775	5	6	8	7	5	4	11	7	5	4	13	3	5	4	6	9
L-lactate dehydrogenase B chain;L-lactate dehydrogenase	Ldhb	P16125;D3Z7F0	4	5	14	6	4	5	3	9	12	12	8	6	7	6	10	6
Adenylosuccinate synthetase isozyme 1	Adssl1	P28650;P28650-2	7	7	8	6	6	6	11	5	9	5	8	5	6	5	7	8
26S protease regulatory subunit 7	Psmc2	Q8BVQ9;P46471	23	24	15	25	14	21	24	21	19	24	22	23	18	22	18	18
Carnitine O-acetyltransferase	Crat	P47934	8	9	9	7	7	9	10	8	9	3	11	4	8	5	9	7
Pyruvate kinase isozymes M1/M2	Pkm2	P52480	25	28	30	23	18	24	25	21	23	18	23	19	31	17	20	23
Monocarboxylate transporter 1	Slc16a1	P53986	1	1	1	1	1	1	2	2	2	1	2	2	1	1	1	1
Probable ATP-dependent RNA helicase DDX17	Ddx17	Q3U741;Q501J6;Q501J6-2	8	10	8	9	4	10	12	8	5	6	7	7	7	7	7	9
Solute carrier organic anion transporter family member 2B1	Slco2b1	Q3V1K7;Q8BXB6;D3YZA9;D3YY31	4	12	6	11	4	7	5	6	7	6	4	8	7	5	6	6
	Gbf1	Q6DFZ1	5	5	6	6	6	5	4	9	7	5	7	4	5	6	3	5
E3 ubiquitin-protein ligase MIB1	Mib1	Q80SY4;F6ZBL2	4	2	5	1	5	2	2	3	2	1	2	2	2	1	4	1
Protein VAC14 homolog	Vac14	Q80WQ2;Q8CCX6	8	4	5	5	4	4	4	5	7	3	7	4	3	4	4	7
Cell division cycle and apoptosis regulator protein 1	Ccar1	Q8CH18;Q8CH18-3	4	8	10	10	4	7	8	4	7	3	7	2	8	3	8	9
Protein arginine N-methyltransferase 5	Prmt5	Q8CIG8	4	7	6	6	5	6	5	7	5	7	4	5	5	6	3	5
Lipoyltransferase 1, mitochondrial	Lipt1	Q8VCM4;D3Z093;D3Z7N1;D3Z2L3	2	3	1	3	3	2	3	2	2	1	3	1	2	2	3	2
SLIT-ROBO Rho GTPase-activating protein 2	Srgap2	Q91Z67	7	6	5	6	5	4	5	6	6	6	5	4	6	4	4	3
Farnesyl pyrophosphate synthase	Fdps	Q920E5	41	40	37	41	34	35	39	36	42	28	40	36	35	30	34	36
THUMP domain-containing protein 1	Thumpd1	Q99J36	4	13	10	12	4	10	9	11	9	6	4	5	6	7	3	4
Peroxisome assembly factor 2	Pex6	Q99LC9	2	8	4	5	2	6	3	3	7	2	4	2	5	2	3	4
Charged multivesicular body protein 3	Chmp3	Q9CQ10	2	2	2	2	1	1	2	2	2	1	3	1	3	1	3	3
Protein NipSnap homolog 3B	Nipsnap3b	Q9CQE1;B1AWZ5	8	13	13	11	8	14	11	15	13	10	15	15	16	11	16	17
Translin-associated protein X	Tsnax	Q9QZE7	4	2	3	1	3	1	3	2	2	1	2	1	4	1	3	3
Selenoprotein T	Selt	P62342	2	0	1	0	2	0	1	2	3	0	2	0	0	0	0	0
OTU domain-containing protein 4	Otud4	B2RRE7;E9QMS3	1	3	6	4	3	3	3	4	3	3	4	3	5	4	3	3
	Dnajc13	D4AFX7;G3X922	5	2	5	3	8	2	5	2	6	2	6	2	3	2	3	5
Thioredoxin reductase 1, cytoplasmic	Txnrd1	Q9JMH6;G3UWB1;Q9JMH6-2	13	12	14	14	11	12	14	8	10	11	13	9	14	8	11	13
Reticulocalbin-1	Rcn1	Q05186	3	4	4	4	3	4	4	4	4	1	3	1	4	2	3	3
Leucine-rich repeat flightless-interacting protein 1	Lrrfip1	Q3UZ39;E9Q2D5;Q3UZ39-2;G5E8E1;E9Q9T1	3	8	12	11	3	10	5	9	10	7	11	3	8	7	10	9
Spermidine synthase	Srm	Q64674	12	9	9	8	8	7	12	7	8	3	11	5	13	6	4	11
TP53RK-binding protein	Tprkb	Q8QZZ7;G3X9K8;D3Z5E8;D3YXX8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	Pdhb	Q9D051	52	55	47	56	50	57	56	43	42	44	59	51	60	48	56	53
UDP-N-acetylglucosamine transporter	Slc35a3	Q8R1T4;D3YXZ7	0	2	1	2	1	2	2	2	1	2	2	1	0	0	1	2
28S ribosomal protein S18a, mitochondrial	Mrps18a	Q5U5I3;Q99N85;D3Z603	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
Dual specificity protein phosphatase 23	Dusp23	Q6NT99	1	3	4	1	2	3	2	2	0	1	2	0	2	0	3	2
Integrator complex subunit 6	Ints6	Q6PCM2;Q6PCM2-2;Q6PCM2-3	2	3	2	3	2	2	2	2	3	1	0	3	1	2	0	0
Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1	Asap1	Q9QWY8;Q9QWY8-3;Q9QWY8-4;E9QN63;E9QMJ1;Q9QWY8-2;E9QMI7	1	2	1	4	1	2	1	2	4	4	1	4	1	1	0	0
Probable ATP-dependent RNA helicase DHX58	Dhx58	Q99J87;E9Q6W5	3	1	3	2	3	2	1	2	3	0	2	2	0	1	2	2
Dynamin-1-like protein	Dnm1l	E9PUD2;Q8K1M6-3;Q8K1M6;Q8K1M6-2;Q8K1M6-4	28	33	32	30	23	25	33	22	28	23	30	23	30	21	28	29
Rab GTPase-binding effector protein 1	Rabep1	E9QPP9;O35551-6;O35551;O35551-3;O35551-5;F8WHD0;O35551-4	2	4	6	4	3	5	6	2	2	2	4	2	4	2	3	3
Proteasome activator complex subunit 3	Psme3	P61290;A2A4J1	7	5	5	6	6	6	6	5	6	4	6	3	6	4	4	6
Alpha-parvin	Parva	Q9EPC1;Q3UF75	3	3	2	2	3	2	2	6	4	1	3	3	5	1	4	6
Mitochondrial import receptor subunit TOM70	Tomm70a	Q80TT4;Q9CZW5	22	23	30	23	21	21	27	20	25	20	30	15	18	19	25	22
Kynurenine 3-monooxygenase	Kmo	Q91WN4;Q91WN4-2	19	14	23	20	16	15	19	19	28	16	28	14	11	19	16	18
Ig gamma-2B chain C region	Igh-3	P01867;P01867-2	5	3	0	0	0	0	0	0	5	0	1	0	1	1	1	0
Nostrin	Nostrin	Q6WKZ7	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0
Steroid receptor RNA activator 1	Sra1	Q80VJ2;G3X8R2	6	11	7	12	1	12	7	8	8	6	4	9	6	8	4	3
AP2-associated protein kinase 1	Aak1	Q3UHJ0;Q3UHJ0-2	0	0	4	1	1	1	2	1	0	0	1	0	0	0	0	0
DCC-interacting protein 13-beta	Appl2	Q8K3G9	0	0	0	0	0	0	1	0	0	2	2	0	2	1	2	2
NF-kappa-B inhibitor beta	Nfkbib	Q60778;E9PZY9;D3Z358	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0
	Cyp2g1	Q9WV19	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0
Vacuolar protein sorting-associated protein 8 homolog	Vps8	F8WI64;Q0P5W1-3;D3YUP0;Q0P5W1;Q0P5W1-2;F6ZLN8;D3Z5P1	0	0	1	0	0	1	2	0	2	2	0	0	0	3	1	0
RNA polymerase-associated protein RTF1 homolog	Rtf1	A2AQ19	0	0	2	1	0	0	0	1	1	1	0	1	0	1	0	0
	Card6	E9PWH2;D3YYK3	0	0	1	0	1	0	0	1	1	1	1	0	0	1	0	0
G kinase-anchoring protein 1	Gkap1	Q9JMB0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0
WD repeat-containing protein 1	Wdr1	O88342	41	44	51	43	40	40	45	42	45	40	45	37	46	43	40	43
Collagen alpha-1(XII) chain	Col12a1	Q60847;Q60847-5;Q60847-2;E9PX70	2	5	4	5	3	2	4	3	4	1	4	0	5	1	5	4
ELKS/Rab6-interacting/CAST family member 1	Erc1	F8VPM7;Q99MI1;E9QL63;Q99MI1-3;Q99MI1-2	11	6	8	6	8	8	10	7	2	0	10	4	11	3	6	12
Geranylgeranyl transferase type-2 subunit beta	Rabggtb	P53612;Q3TVF4;Q9JIF6;F8WH82	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
Cytoplasmic protein NCK2	Nck2	O55033	2	4	2	4	2	3	1	1	4	4	2	3	1	3	0	2
2,3-cyclic-nucleotide 3-phosphodiesterase	Cnp	P16330;P16330-2	4	4	3	2	4	3	3	2	2	1	0	1	3	2	2	1
Neuropilin-1	Nrp1	P97333	2	1	2	2	2	1	2	2	2	0	1	1	1	1	1	1
Peptidyl-prolyl cis-trans isomerase FKBP5	Fkbp5	Q64378	6	4	6	2	3	2	5	3	2	1	5	0	4	3	4	6
Integrator complex subunit 1	Ints1	Q6P4S8	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Protein ITFG3	Itfg3	Q8C0Z1;F6SQM4	2	3	2	3	3	3	2	5	2	0	5	1	2	2	2	2
Nuclear receptor-binding protein	Nrbp1	Q99J45;D3YUV1;F7AZ06	2	5	3	4	2	4	3	1	1	2	3	3	3	2	4	4
Probable proline--tRNA ligase, mitochondrial	Pars2	A8Y5T6;Q8CFI5	1	1	1	1	1	0	1	1	2	1	2	1	1	0	1	1
H/ACA ribonucleoprotein complex subunit 2	Nhp2	Q9CRB2	3	2	2	3	3	3	2	2	2	1	2	0	3	0	3	2
Eukaryotic translation initiation factor 5	Eif5	P59325;Q8BVV6;Q05CM5	23	20	27	19	21	15	19	18	24	17	14	15	19	14	15	17
40S ribosomal protein S8	Rps8;Gm11353;Rps8-ps1;Gm5121	P62242;Q5SZV3;G3XA55;D3YW44	7	6	5	5	5	6	8	4	8	7	8	7	3	8	5	3
E3 ubiquitin-protein ligase BRE1A	Rnf20	Q5DTM8;Q5DTM8-2	3	1	1	3	4	3	3	2	1	3	1	3	2	1	1	1
Actin-related protein 8	Actr8	Q8R2S9	1	0	1	0	1	0	2	0	2	0	0	0	0	0	1	0
Four and a half LIM domains protein 1	Fhl1	A2AEX6;A2AEX8;P97447;A2AEY2;A2AEY1;A2AEX7;P97447-2;A2AEY0	5	4	4	5	3	4	6	5	4	2	6	0	2	2	2	4
Creatine kinase B-type	Ckb	Q04447	7	7	5	6	4	3	7	4	4	3	7	5	6	4	8	7
Adenylate kinase isoenzyme 4, mitochondrial	Ak4	Q9WUR9;F8WH88;F6TEU8;A2ARF6	10	17	14	16	15	15	12	13	14	14	10	13	16	17	14	12
Leucine-rich repeat flightless-interacting protein 2	Lrrfip2	E9QN52;Q91WK0;Q91WK0-2;F6SL65	4	3	4	3	3	3	4	3	5	1	4	2	3	2	3	2
Serine/threonine-protein kinase A-Raf	Araf	P04627	6	4	8	4	7	4	5	3	4	3	4	3	5	4	4	2
Ribosomal protein;60S ribosomal protein L10a	Rpl10a	Q5XJF6;P53026	18	22	24	27	23	17	21	26	29	16	29	18	25	18	23	18
COMM domain-containing protein 8	Commd8	Q9CZG3	4	5	7	7	5	5	5	5	7	2	5	2	5	2	7	6
Mitochondrial fission process protein 1	Mtfp1	Q9CRB8	5	3	4	3	6	4	6	4	3	4	7	6	5	5	6	7
Importin subunit beta-1	Kpnb1	P70168	20	19	24	19	15	12	20	17	22	13	22	12	16	12	18	18
Pre-mRNA-processing factor 19	Prpf19	Q99KP6;Q99KP6-2;Q99KP6-3	13	15	14	13	13	13	11	13	12	6	12	8	15	11	11	10
Tetratricopeptide repeat protein 33	Ttc33	Q9D6K7;D3Z767;D3Z1T8;Q9D6K7-2	0	0	3	2	0	2	0	4	3	3	2	4	1	3	2	0
P2X purinoceptor 4;P2X purinoceptor	P2rx4	Q9JJX6;Q9Z257;E9QNH4;Q9JJX6-3;D3Z5U5;Q9JJX6-2;Q9Z256;Q9JJX6-4;D3YYR5	0	1	2	1	2	1	1	1	1	1	2	0	0	1	0	0
	Aim1	E9PVP1;F6Y889	0	0	2	2	3	2	5	0	2	2	1	0	3	0	4	1
